113403.29, 5350.1474762, N, 1738.7806886, E, Depth: 2.19, X: -142.863, Y: -75.469
113403.34, 5350.1474246, N, 1738.7806502, E, Depth: 2.17, X: -142.958, Y: -75.511
113403.39, 5350.1473730, N, 1738.7806124, E, Depth: 2.17, X: -143.054, Y: -75.553
113403.44, 5350.1473214, N, 1738.7805746, E, Depth: 2.17, X: -143.15, Y: -75.594
113403.49, 5350.1472698, N, 1738.7805368, E, Depth: 2.17, X: -143.245, Y: -75.636
113403.54, 5350.1472182, N, 1738.7804996, E, Depth: 2.17, X: -143.341, Y: -75.676
113403.59, 5350.1471666, N, 1738.7804624, E, Depth: 2.17, X: -143.437, Y: -75.717
113403.64, 5350.1471150, N, 1738.7804252, E, Depth: 2.17, X: -143.533, Y: -75.758
113403.69, 5350.1470634, N, 1738.7803880, E, Depth: 2.17, X: -143.628, Y: -75.799
113403.74, 5350.1470112, N, 1738.7803490, E, Depth: 2.16, X: -143.725, Y: -75.842
113403.79, 5350.1469596, N, 1738.7803106, E, Depth: 2.16, X: -143.821, Y: -75.884
113403.84, 5350.1469074, N, 1738.7802722, E, Depth: 2.16, X: -143.918, Y: -75.926
113403.89, 5350.1468558, N, 1738.7802344, E, Depth: 2.16, X: -144.014, Y: -75.968
113403.94, 5350.1468042, N, 1738.7801972, E, Depth: 2.15, X: -144.109, Y: -76.008
113403.99, 5350.1467532, N, 1738.7801594, E, Depth: 2.15, X: -144.204, Y: -76.05
113404.04, 5350.1467016, N, 1738.7801216, E, Depth: 2.15, X: -144.3, Y: -76.091
113404.09, 5350.1466500, N, 1738.7800844, E, Depth: 2.15, X: -144.395, Y: -76.132
113404.14, 5350.1465978, N, 1738.7800478, E, Depth: 2.14, X: -144.493, Y: -76.172
113404.19, 5350.1465456, N, 1738.7800106, E, Depth: 2.14, X: -144.59, Y: -76.213
113404.24, 5350.1464934, N, 1738.7799734, E, Depth: 2.14, X: -144.686, Y: -76.253
113404.29, 5350.1464412, N, 1738.7799368, E, Depth: 2.14, X: -144.783, Y: -76.294
113404.34, 5350.1463878, N, 1738.7798984, E, Depth: 2.15, X: -144.882, Y: -76.336
113404.39, 5350.1463350, N, 1738.7798606, E, Depth: 2.15, X: -144.98, Y: -76.377
113404.44, 5350.1462822, N, 1738.7798234, E, Depth: 2.15, X: -145.078, Y: -76.419
113404.49, 5350.1462294, N, 1738.7797856, E, Depth: 2.15, X: -145.175, Y: -76.46
113404.54, 5350.1461784, N, 1738.7797478, E, Depth: 2.12, X: -145.27, Y: -76.501
113404.59, 5350.1461262, N, 1738.7797100, E, Depth: 2.12, X: -145.367, Y: -76.543
113404.64, 5350.1460746, N, 1738.7796722, E, Depth: 2.12, X: -145.463, Y: -76.584
113404.69, 5350.1460230, N, 1738.7796344, E, Depth: 2.12, X: -145.559, Y: -76.626
113404.74, 5350.1459702, N, 1738.7795972, E, Depth: 2.1, X: -145.657, Y: -76.666
113404.79, 5350.1459180, N, 1738.7795600, E, Depth: 2.1, X: -145.754, Y: -76.707
113404.84, 5350.1458652, N, 1738.7795228, E, Depth: 2.1, X: -145.851, Y: -76.748
113404.89, 5350.1458130, N, 1738.7794850, E, Depth: 2.1, X: -145.948, Y: -76.79
113404.94, 5350.1457608, N, 1738.7794466, E, Depth: 2.09, X: -146.045, Y: -76.832
113404.99, 5350.1457086, N, 1738.7794082, E, Depth: 2.09, X: -146.141, Y: -76.874
113405.04, 5350.1456570, N, 1738.7793698, E, Depth: 2.09, X: -146.238, Y: -76.916
113405.09, 5350.1456048, N, 1738.7793314, E, Depth: 2.09, X: -146.335, Y: -76.958
113405.14, 5350.1455538, N, 1738.7792936, E, Depth: 2.1, X: -146.429, Y: -77.0
113405.19, 5350.1455022, N, 1738.7792552, E, Depth: 2.1, X: -146.525, Y: -77.042
113405.24, 5350.1454506, N, 1738.7792174, E, Depth: 2.1, X: -146.62, Y: -77.083
113405.29, 5350.1453996, N, 1738.7791790, E, Depth: 2.1, X: -146.715, Y: -77.125
113405.34, 5350.1453462, N, 1738.7791388, E, Depth: 2.09, X: -146.814, Y: -77.169
113405.39, 5350.1452940, N, 1738.7790992, E, Depth: 2.09, X: -146.911, Y: -77.213
113405.44, 5350.1452418, N, 1738.7790602, E, Depth: 2.09, X: -147.008, Y: -77.256
113405.49, 5350.1451896, N, 1738.7790206, E, Depth: 2.09, X: -147.105, Y: -77.299
113405.54, 5350.1451374, N, 1738.7789828, E, Depth: 2.07, X: -147.202, Y: -77.341
113405.59, 5350.1450846, N, 1738.7789444, E, Depth: 2.07, X: -147.299, Y: -77.383
113405.64, 5350.1450324, N, 1738.7789060, E, Depth: 2.07, X: -147.396, Y: -77.425
113405.69, 5350.1449802, N, 1738.7788676, E, Depth: 2.07, X: -147.493, Y: -77.467
113405.74, 5350.1449286, N, 1738.7788292, E, Depth: 2.06, X: -147.588, Y: -77.509
113405.79, 5350.1448770, N, 1738.7787914, E, Depth: 2.06, X: -147.684, Y: -77.551
113405.84, 5350.1448254, N, 1738.7787530, E, Depth: 2.06, X: -147.781, Y: -77.593
113405.89, 5350.1447732, N, 1738.7787152, E, Depth: 2.06, X: -147.877, Y: -77.635
113405.94, 5350.1447210, N, 1738.7786762, E, Depth: 2.06, X: -147.973, Y: -77.677
113405.99, 5350.1446694, N, 1738.7786372, E, Depth: 2.06, X: -148.07, Y: -77.72
113406.04, 5350.1446172, N, 1738.7785988, E, Depth: 2.06, X: -148.166, Y: -77.762
113406.09, 5350.1445656, N, 1738.7785604, E, Depth: 2.06, X: -148.262, Y: -77.804
113406.14, 5350.1445128, N, 1738.7785214, E, Depth: 2.05, X: -148.36, Y: -77.847
113406.19, 5350.1444606, N, 1738.7784824, E, Depth: 2.05, X: -148.457, Y: -77.89
113406.24, 5350.1444078, N, 1738.7784434, E, Depth: 2.05, X: -148.555, Y: -77.932
113406.29, 5350.1443556, N, 1738.7784050, E, Depth: 2.05, X: -148.652, Y: -77.975
113406.34, 5350.1443022, N, 1738.7783678, E, Depth: 2.04, X: -148.751, Y: -78.015
113406.39, 5350.1442494, N, 1738.7783306, E, Depth: 2.04, X: -148.849, Y: -78.056
113406.44, 5350.1441960, N, 1738.7782928, E, Depth: 2.04, X: -148.947, Y: -78.097
113406.49, 5350.1441432, N, 1738.7782556, E, Depth: 2.04, X: -149.045, Y: -78.139
113406.54, 5350.1440910, N, 1738.7782190, E, Depth: 2.03, X: -149.142, Y: -78.179
113406.59, 5350.1440388, N, 1738.7781824, E, Depth: 2.03, X: -149.239, Y: -78.219
113406.64, 5350.1439866, N, 1738.7781452, E, Depth: 2.03, X: -149.336, Y: -78.26
113406.69, 5350.1439344, N, 1738.7781086, E, Depth: 2.03, X: -149.433, Y: -78.3
113406.74, 5350.1438822, N, 1738.7780720, E, Depth: 2.03, X: -149.53, Y: -78.34
113406.79, 5350.1438300, N, 1738.7780354, E, Depth: 2.03, X: -149.627, Y: -78.38
113406.84, 5350.1437772, N, 1738.7779982, E, Depth: 2.03, X: -149.724, Y: -78.421
113406.89, 5350.1437250, N, 1738.7779616, E, Depth: 2.03, X: -149.821, Y: -78.461
