105830.00, 5350.1042410, N, 01738.7705148, E, Satellites: 27, HDOP: 0.5, lon_err: 0.078, lat_err: 0.046, alt_err: 0.110
105831.00, 5350.1042339, N, 01738.7705133, E, Satellites: 27, HDOP: 0.5, lon_err: 0.078, lat_err: 0.046, alt_err: 0.110
105832.00, 5350.1042236, N, 01738.7705118, E, Satellites: 27, HDOP: 0.5, lon_err: 0.078, lat_err: 0.045, alt_err: 0.109
105833.00, 5350.1042092, N, 01738.7705188, E, Satellites: 27, HDOP: 0.5, lon_err: 0.077, lat_err: 0.045, alt_err: 0.108
105834.00, 5350.1042002, N, 01738.7705108, E, Satellites: 27, HDOP: 0.5, lon_err: 0.077, lat_err: 0.045, alt_err: 0.108
105835.00, 5350.1042615, N, 01738.7705177, E, Satellites: 26, HDOP: 0.6, lon_err: 0.076, lat_err: 0.045, alt_err: 0.107
105836.00, 5350.1042601, N, 01738.7705184, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105837.00, 5350.1042541, N, 01738.7705141, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105838.00, 5350.1042541, N, 01738.7705206, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105839.00, 5350.1042607, N, 01738.7705272, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105840.00, 5350.1042600, N, 01738.7705348, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105841.00, 5350.1042624, N, 01738.7705328, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105842.00, 5350.1042600, N, 01738.7705283, E, Satellites: 27, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.006
105843.00, 5350.1042617, N, 01738.7705228, E, Satellites: 27, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.006
105844.00, 5350.1042613, N, 01738.7705207, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105845.00, 5350.1042532, N, 01738.7705170, E, Satellites: 26, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105846.00, 5350.1042466, N, 01738.7705174, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105847.00, 5350.1042365, N, 01738.7705153, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105848.00, 5350.1042321, N, 01738.7705206, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.009
105849.00, 5350.1042249, N, 01738.7705107, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
