job_ts,time,mode6_lat,mode6_lon,3hydro_lat,3hydro_lon
20260612_104945,84945,53.83501666717914,17.64972242235793,,
20260612_104945,84946,53.8350485677993,17.64988655502712,53.8350485677993,17.64988655502712
20260612_104945,84947,53.83497851335642,17.64994794411635,53.83497851335642,17.64994794411635
20260612_104945,84948,53.83494402805192,17.649924357597648,53.83494402805192,17.649924357597648
20260612_104945,84949,53.83525845671255,17.65002331507379,53.83525845671255,17.65002331507379
20260612_104945,84950,53.83526738725784,17.64994392562389,53.83526738725784,17.64994392562389
20260612_104945,84951,53.835081690463056,17.64991775487249,53.835081690463056,17.64991775487249
20260612_104945,84952,53.83502903930787,17.649731564870198,53.83502903930787,17.649731564870198
20260612_104945,84953,53.83506221051311,17.649771858355376,53.83777756504496,17.649305455418826
20260612_104945,84954,53.83489672636539,17.649805272645548,53.83489672636539,17.649805272645548
20260612_105000,85000,53.83495068318776,17.649911207456874,53.83495068318776,17.649911207456874
20260612_105000,85001,53.83489549361238,17.649865607814736,53.83489549361238,17.649865607814736
20260612_105000,85002,53.83494747496062,17.649789832556273,,
20260612_105000,85003,53.834967842398655,17.64990684408064,53.834967842398655,17.64990684408064
20260612_105000,85004,53.83507417035448,17.64988417973968,53.83507417035448,17.64988417973968
20260612_105000,85005,53.83506417175103,17.64993853734107,53.83506417175103,17.64993853734107
20260612_105000,85006,53.83496119224428,17.649737903884592,53.83496119224428,17.649737903884592
20260612_105000,85007,53.83512686294741,17.649957160487933,53.83568990441417,17.649995504653024
20260612_105000,85008,53.83492199622453,17.649850820212453,53.83492199622453,17.649850820212453
20260612_105000,85009,53.83497067935741,17.649909585773496,53.838402736747106,17.649884085146663
20260612_105015,85015,53.83515060474422,17.64988920307496,53.83515060474422,17.64988920307496
20260612_105015,85016,53.83503635645792,17.64995263930362,53.83503635645792,17.64995263930362
20260612_105015,85017,109.76109366953125,-48.40684295822921,,
20260612_105015,85018,53.8349641138591,17.649862108994345,53.837778407506164,17.649663926216338
20260612_105015,85019,53.8349464718837,17.64983520227281,53.8395573938749,17.649281396873675
20260612_105015,85020,53.83482254711527,17.649798909109837,53.83482254711527,17.649798909109837
20260612_105015,85021,53.835035168261776,17.64983804530408,53.835035168261776,17.64983804530408
20260612_105015,85022,53.83444085615637,17.649558365086463,53.83444085615637,17.649558365086463
20260612_105015,85023,53.834764787190416,17.64976709701724,53.834764787190416,17.64976709701724
20260612_105015,85024,53.83501515073912,17.65006840395186,53.8361284857378,17.65024313835634
20260612_105030,85030,53.83488330339267,17.64982487743283,53.83488330339267,17.64982487743283
20260612_105030,85031,53.83494286496361,17.649828499648663,53.84077874649986,17.648839941951366
20260612_105030,85032,53.83489088251956,17.649833023373212,53.83489088251956,17.649833023373212
20260612_105030,85033,53.83494606296063,17.649876018953112,53.838255481324424,17.64959089729963
20260612_105030,85034,53.83481218032757,17.64992029545487,53.83481218032757,17.64992029545487
20260612_105030,85035,53.83490703608124,17.649918666917536,53.83490703608124,17.649918666917536
20260612_105030,85036,53.83481840737201,17.64997028474437,53.83481840737201,17.64997028474437
20260612_105030,85037,53.83498124295626,17.650012658772884,53.83498124295626,17.650012658772884
20260612_105030,85038,53.834693932602846,17.64995995880743,53.834693932602846,17.64995995880743
20260612_105030,85039,53.83475759950558,17.649898181458934,53.83475759950558,17.649898181458934
20260612_105045,85045,53.83479742448156,17.650187823207197,53.84310724903407,17.652907439905146
20260612_105045,85046,53.834702428603194,17.650170187311474,53.834702428603194,17.650170187311474
20260612_105045,85047,53.834670625382216,17.64985624455293,53.834670625382216,17.64985624455293
20260612_105045,85048,53.83465409484894,17.6494988182729,53.83465409484894,17.6494988182729
20260612_105045,85049,53.83434773883073,17.649587816393357,53.83434773883073,17.649587816393357
20260612_105045,85050,53.832886946887946,17.64922268081469,53.832886946887946,17.64922268081469
20260612_105045,85051,53.83485199906959,17.64997660923151,53.83485199906959,17.64997660923151
20260612_105045,85052,53.83440054118357,17.649479590926962,53.83440054118357,17.649479590926962
20260612_105045,85053,53.83451537792654,17.64987580924076,53.83451537792654,17.64987580924076
20260612_105045,85054,53.834107257848395,17.649625108245868,53.834107257848395,17.649625108245868
20260612_105100,85100,53.83498677738927,17.65010399014399,53.83587465004247,17.650235403279307
20260612_105100,85101,53.8349205118451,17.65002554131286,53.8349205118451,17.65002554131286
20260612_105100,85102,53.83450374877772,17.649995788133754,53.83450374877772,17.649995788133754
20260612_105100,85103,53.833236480441485,17.650940240462635,53.833236480441485,17.650940240462635
20260612_105100,85104,53.834334089420786,17.65029196997335,53.834334089420786,17.65029196997335
20260612_105100,85105,53.834698532845756,17.65003505613794,53.834698532845756,17.65003505613794
20260612_105100,85106,53.834760738741295,17.650012996469187,,
20260612_105100,85107,53.83452489474917,17.650115639109405,53.83452489474917,17.650115639109405
20260612_105100,85108,53.83474985387555,17.650326359536983,53.83474985387555,17.650326359536983
20260612_105100,85109,53.834466767453705,17.650048117543243,53.834466767453705,17.650048117543243
20260612_105115,85115,53.83480176471515,17.650203110085748,53.84043749532454,17.652067732247
20260612_105115,85116,53.83475573063963,17.650241271049758,,
20260612_105115,85117,53.834221646261746,17.65034990872371,53.834221646261746,17.65034990872371
20260612_105115,85118,53.83339293171714,17.650838089762086,53.83339293171714,17.650838089762086
20260612_105115,85119,-81.6870980964714,45.72404551361279,,
20260612_105115,85120,53.83391284887249,17.650105424771255,53.83391284887249,17.650105424771255
20260612_105115,85121,53.834572620436354,17.650293620765062,53.834572620436354,17.650293620765062
20260612_105115,85122,53.83487321581501,17.650110070656677,53.83487321581501,17.650110070656677
20260612_105115,85123,53.834856067364385,17.65011475584608,53.83797511391091,17.65070091421971
20260612_105115,85124,53.834676254330084,17.65007504943327,53.834676254330084,17.65007504943327
20260612_105130,85130,53.83470671057107,17.650399199341074,53.83470671057107,17.650399199341074
20260612_105130,85131,53.834792206995374,17.650268366899677,53.834792206995374,17.650268366899677
20260612_105130,85132,53.834829869281236,17.65027636612172,53.834829869281236,17.65027636612172
20260612_105130,85133,53.83474949232273,17.65008791427356,53.83474949232273,17.65008791427356
20260612_105130,85134,53.8349993083987,17.65016562389876,53.8349993083987,17.65016562389876
20260612_105130,85135,53.835035538394486,17.650146332420746,53.83574015791292,17.650278515345892
20260612_105130,85136,53.835030583878456,17.65007738257378,53.83602487508852,17.650203186732483
20260612_105130,85137,53.834900324525044,17.650128019965496,53.834900324525044,17.650128019965496
20260612_105130,85138,53.83495734940437,17.65010343907876,53.83647737269255,17.65035067285242
20260612_105130,85139,53.834960485636635,17.650115903381,53.836363628536695,17.65036143366179
20260612_105145,85145,-81.1772690096817,76.27134105375002,,
20260612_105145,85146,53.83470637205414,17.64945884051347,53.83470637205414,17.64945884051347
20260612_105145,85147,121.89350661840822,7.578387477289746,,
20260612_105145,85148,-59.928480533691406,-48.8753977947696,,
20260612_105145,85149,53.834736927446,17.650241463493995,53.852415931540435,17.658007668398533
20260612_105145,85150,53.834842243408964,17.6501973836025,53.834842243408964,17.6501973836025
20260612_105145,85151,53.8345986578385,17.65025667783086,53.8345986578385,17.65025667783086
20260612_105145,85152,53.834755656709476,17.650206881077725,53.834755656709476,17.650206881077725
20260612_105145,85153,53.834843858039214,17.65006429469628,53.839636881129465,17.65071959833992
20260612_105145,85154,53.834968460582395,17.649934346729008,53.834968460582395,17.649934346729008
20260612_105200,85200,53.83473655125553,17.650148535321833,,
