job_ts,time,mode6_lat,mode6_lon,3hydro_lat,3hydro_lon
20260520_120525,100525,53.836031181135226,17.647823292525278,53.836031181135226,17.647823292525278
20260520_120525,100526,53.83580746824568,17.648012850402008,53.83580746824568,17.648012850402008
20260520_120525,100527,70.029295721263,52.77361085198947,,
20260520_120525,100528,53.83628410994169,17.648268512619282,53.83628410994169,17.648268512619282
20260520_120525,100529,129.67544058820636,-26.430924629738637,,
20260520_120525,100530,53.83515152288386,17.64768710511882,53.83515152288386,17.64768710511882
20260520_120525,100531,53.835718494034474,17.647865410233685,53.835718494034474,17.647865410233685
20260520_120525,100532,-118.675896844655,28.642318839290393,,
20260520_120525,100533,-112.69181939104169,22.19379841338448,,
20260520_120525,100534,58.2860858823958,-78.10815143411241,,
20260520_120525,100535,53.83603737516984,17.647756399337773,53.83603737516984,17.647756399337773
20260520_120525,100536,53.83620753808316,17.64784905812005,53.83620753808316,17.64784905812005
20260520_120525,100537,53.83593106846587,17.647983699776848,53.83593106846587,17.647983699776848
20260520_120525,100538,53.83600755144901,17.647933544799287,53.83600755144901,17.647933544799287
20260520_120525,100539,53.83605702614921,17.64803425348276,53.83605702614921,17.64803425348276
20260520_120525,100540,53.8359694975743,17.64791357456083,53.8359694975743,17.64791357456083
20260520_120525,100541,53.835955174372636,17.647916585013213,53.835955174372636,17.647916585013213
20260520_120525,100542,53.836142869409755,17.647848337714606,53.836142869409755,17.647848337714606
20260520_120525,100543,53.83617361919741,17.64775457483752,53.83617361919741,17.64775457483752
20260520_120525,100544,53.83617532591341,17.64779738086454,53.83617532591341,17.64779738086454
20260520_120600,100600,113.36687555834209,-58.315173722522644,,
20260520_120600,100601,53.83587052488646,17.647920281579555,53.83587052488646,17.647920281579555
20260520_120600,100602,53.835880808847435,17.64819313533596,53.835880808847435,17.64819313533596
20260520_120600,100603,53.836217958739596,17.647982328727153,53.836217958739596,17.647982328727153
20260520_120600,100604,53.83626987731045,17.64773245443478,53.83626987731045,17.64773245443478
20260520_120600,100605,53.836136622477255,17.64781276909434,53.836136622477255,17.64781276909434
20260520_120600,100606,-92.08150149956786,47.32606815143926,,
20260520_120600,100607,-165.08931209221922,46.91193014397101,,
20260520_120600,100608,53.83453371280404,17.648198246954014,53.83453371280404,17.648198246954014
20260520_120600,100609,53.836180288502895,17.64784275313407,53.836180288502895,17.64784275313407
20260520_120600,100610,53.83627190376109,17.64789705297219,53.83627190376109,17.64789705297219
20260520_120600,100611,53.83615103817033,17.647894065762802,53.83615103817033,17.647894065762802
20260520_120600,100612,53.83622092376786,17.64772281925785,53.83622092376786,17.64772281925785
20260520_120600,100613,53.83621476088841,17.647778585170613,53.83621476088841,17.647778585170613
20260520_120600,100614,53.83613143455113,17.647784096057656,53.83613143455113,17.647784096057656
20260520_120600,100615,22.53703440650856,-9.78480333972077,,
20260520_120600,100616,53.8360717083516,17.6480582148618,53.8360717083516,17.6480582148618
20260520_120600,100617,53.836096951036104,17.647849084731106,53.836096951036104,17.647849084731106
20260520_120600,100618,53.835753381972275,17.647830586018337,53.835753381972275,17.647830586018337
20260520_120600,100619,166.5173153720752,-58.23414840188008,,
20260520_120625,100625,53.83620525886448,17.647810940478564,53.83620525886448,17.647810940478564
20260520_120625,100626,53.83621151186346,17.647902172128216,53.83621151186346,17.647902172128216
20260520_120625,100627,53.83599457721759,17.647936005297655,53.83599457721759,17.647936005297655
20260520_120625,100628,53.836144931145796,17.647789686030777,53.836144931145796,17.647789686030777
20260520_120625,100629,-169.61324691661454,-55.22197608055908,,
20260520_120625,100630,53.836010398044586,17.648090472889983,53.836010398044586,17.648090472889983
20260520_120625,100631,53.83598857172085,17.64830839748719,53.83598857172085,17.64830839748719
20260520_120625,100632,53.83614840660055,17.64788915097229,53.83614840660055,17.64788915097229
20260520_120625,100633,53.83615758281619,17.647906728138047,53.83615758281619,17.647906728138047
20260520_120625,100634,53.83604480111453,17.64784625664069,53.83604480111453,17.64784625664069
20260520_120625,100635,53.83621318479946,17.647774737615112,53.83621318479946,17.647774737615112
20260520_120625,100636,53.836262206145705,17.647790352986366,53.836262206145705,17.647790352986366
20260520_120625,100637,53.836209658514875,17.647736234255532,53.836209658514875,17.647736234255532
20260520_120625,100638,53.83620365545476,17.647802017427676,53.83620365545476,17.647802017427676
20260520_120625,100639,53.83611722721412,17.64793688424184,53.83611722721412,17.64793688424184
20260520_120625,100640,53.836283408269615,17.64804912344168,53.836283408269615,17.64804912344168
20260520_120625,100641,36.67121124378584,-38.81386443205411,,
20260520_120625,100642,53.83610043846709,17.64795743937361,,
20260520_120625,100643,53.83626329230007,17.648060123206378,53.83626329230007,17.648060123206378
20260520_120625,100644,53.83596022383486,17.64809091782103,,
20260520_120700,100700,-65.20242656050127,-57.26558132592252,,
20260520_120700,100701,53.83629730705662,17.647949210001872,53.83629730705662,17.647949210001872
20260520_120700,100702,53.836303303559546,17.64807654033279,53.836303303559546,17.64807654033279
20260520_120700,100703,53.836280750659526,17.648054966996142,53.836280750659526,17.648054966996142
20260520_120700,100704,10.678339354415723,65.35222383612339,,
20260520_120700,100705,53.835912127654254,17.647882691267608,53.835912127654254,17.647882691267608
20260520_120700,100706,53.8358237851964,17.647876515958327,,
20260520_120700,100707,53.83633670008132,17.647801392301982,,
20260520_120700,100708,53.835591634972815,17.647675870586845,53.835591634972815,17.647675870586845
20260520_120700,100709,53.836051919318535,17.64797673115714,53.836051919318535,17.64797673115714
20260520_120700,100710,53.83602670296675,17.647868815556173,53.83602670296675,17.647868815556173
20260520_120700,100711,53.835875933582,17.647885667054375,53.835875933582,17.647885667054375
20260520_120700,100712,53.83611680686722,17.64794472186557,53.83611680686722,17.64794472186557
20260520_120700,100713,53.83619543667456,17.64802687739611,53.83619543667456,17.64802687739611
20260520_120700,100714,53.835919277631724,17.64782902191996,53.835919277631724,17.64782902191996
20260520_120700,100715,53.8359426669659,17.647836694322294,53.8359426669659,17.647836694322294
20260520_120700,100716,53.836110917070215,17.647839375441404,53.836110917070215,17.647839375441404
20260520_120700,100717,53.835915447255594,17.647741003322903,53.835915447255594,17.647741003322903
20260520_120700,100718,53.83590267088577,17.64773156804295,53.83590267088577,17.64773156804295
20260520_120700,100719,53.83620065855036,17.647768528825175,53.83620065855036,17.647768528825175
