110030.00, 5350.0851145, N, 01738.7985166, E, Satellites: 15, HDOP: 0.8, lon_err: 0.076, lat_err: 0.052, alt_err: 0.114
110031.00, 5350.0850497, N, 01738.7986266, E, Satellites: 14, HDOP: 0.8, lon_err: 0.075, lat_err: 0.052, alt_err: 0.113
110032.00, 5350.0849942, N, 01738.7987477, E, Satellites: 13, HDOP: 0.8, lon_err: 0.075, lat_err: 0.052, alt_err: 0.113
110033.00, 5350.0849325, N, 01738.7988660, E, Satellites: 12, HDOP: 0.9, lon_err: 0.074, lat_err: 0.052, alt_err: 0.113
110034.00, 5350.0848782, N, 01738.7989881, E, Satellites: 12, HDOP: 0.9, lon_err: 0.074, lat_err: 0.052, alt_err: 0.112
110035.00, 5350.0848283, N, 01738.7991128, E, Satellites: 13, HDOP: 0.8, lon_err: 0.074, lat_err: 0.052, alt_err: 0.112
110036.00, 5350.0847733, N, 01738.7992349, E, Satellites: 12, HDOP: 0.9, lon_err: 0.073, lat_err: 0.052, alt_err: 0.112
110037.00, 5350.0847216, N, 01738.7993605, E, Satellites: 13, HDOP: 0.8, lon_err: 0.073, lat_err: 0.051, alt_err: 0.111
110038.00, 5350.0846746, N, 01738.7994846, E, Satellites: 15, HDOP: 0.8, lon_err: 0.072, lat_err: 0.051, alt_err: 0.111
110039.00, 5350.0846282, N, 01738.7995978, E, Satellites: 14, HDOP: 0.8, lon_err: 0.072, lat_err: 0.051, alt_err: 0.110
110040.00, 5350.0845867, N, 01738.7997075, E, Satellites: 14, HDOP: 0.8, lon_err: 0.071, lat_err: 0.051, alt_err: 0.109
110041.00, 5350.0845379, N, 01738.7998091, E, Satellites: 15, HDOP: 0.8, lon_err: 0.071, lat_err: 0.051, alt_err: 0.109
110042.00, 5350.0844624, N, 01738.7999933, E, Satellites: 16, HDOP: 0.8, lon_err: 0.070, lat_err: 0.051, alt_err: 0.108
110043.00, 5350.0843886, N, 01738.8001192, E, Satellites: 16, HDOP: 0.8, lon_err: 0.425, lat_err: 0.305, alt_err: 0.775
110044.00, 5350.0844968, N, 01738.8002896, E, Satellites: 16, HDOP: 0.8, lon_err: 0.400, lat_err: 0.285, alt_err: 0.714
110045.00, 5350.0844603, N, 01738.8004171, E, Satellites: 16, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.011
110046.00, 5350.0844299, N, 01738.8005508, E, Satellites: 16, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.012
110047.00, 5350.0843970, N, 01738.8006766, E, Satellites: 17, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.011
110048.00, 5350.0843696, N, 01738.8008032, E, Satellites: 17, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
110049.00, 5350.0843394, N, 01738.8009328, E, Satellites: 16, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
