105600.00, 5432.6651270, N, 01832.7731506, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105601.00, 5432.6651273, N, 01832.7731487, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105602.00, 5432.6651281, N, 01832.7731412, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105603.00, 5432.6651260, N, 01832.7731404, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105604.00, 5432.6651262, N, 01832.7731432, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105605.00, 5432.6651264, N, 01832.7731409, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105606.00, 5432.6651261, N, 01832.7731441, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105607.00, 5432.6651270, N, 01832.7731419, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105608.00, 5432.6651246, N, 01832.7731368, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105609.00, 5432.6651257, N, 01832.7731342, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105610.00, 5432.6651251, N, 01832.7731376, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105611.00, 5432.6651252, N, 01832.7731385, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105612.00, 5432.6651261, N, 01832.7731449, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105613.00, 5432.6651248, N, 01832.7731460, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105614.00, 5432.6651257, N, 01832.7731464, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105615.00, 5432.6651248, N, 01832.7731448, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
105616.00, 5432.6651249, N, 01832.7731427, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.021
