110000.00, 5350.0865150, N, 01738.7945944, E, Satellites: 16, HDOP: 0.7, lon_err: 0.094, lat_err: 0.060, alt_err: 0.132
110001.00, 5350.0864749, N, 01738.7947405, E, Satellites: 15, HDOP: 0.8, lon_err: 0.093, lat_err: 0.060, alt_err: 0.131
110002.00, 5350.0864353, N, 01738.7948837, E, Satellites: 15, HDOP: 0.8, lon_err: 0.093, lat_err: 0.059, alt_err: 0.130
110003.00, 5350.0863951, N, 01738.7950176, E, Satellites: 15, HDOP: 0.8, lon_err: 0.092, lat_err: 0.059, alt_err: 0.129
110004.00, 5350.0863560, N, 01738.7951401, E, Satellites: 16, HDOP: 0.7, lon_err: 0.091, lat_err: 0.059, alt_err: 0.128
110005.00, 5350.0863171, N, 01738.7952537, E, Satellites: 16, HDOP: 0.7, lon_err: 0.090, lat_err: 0.058, alt_err: 0.128
110006.00, 5350.0862716, N, 01738.7953673, E, Satellites: 16, HDOP: 0.7, lon_err: 0.090, lat_err: 0.058, alt_err: 0.127
110007.00, 5350.0862242, N, 01738.7954815, E, Satellites: 15, HDOP: 0.8, lon_err: 0.089, lat_err: 0.058, alt_err: 0.126
110008.00, 5350.0861767, N, 01738.7956064, E, Satellites: 16, HDOP: 0.7, lon_err: 0.089, lat_err: 0.057, alt_err: 0.125
110009.00, 5350.0861317, N, 01738.7957249, E, Satellites: 16, HDOP: 0.7, lon_err: 0.088, lat_err: 0.057, alt_err: 0.125
110010.00, 5350.0860904, N, 01738.7958427, E, Satellites: 15, HDOP: 0.8, lon_err: 0.087, lat_err: 0.057, alt_err: 0.124
110011.00, 5350.0860456, N, 01738.7959781, E, Satellites: 14, HDOP: 0.9, lon_err: 0.087, lat_err: 0.057, alt_err: 0.123
110012.00, 5350.0860049, N, 01738.7961195, E, Satellites: 16, HDOP: 0.7, lon_err: 0.086, lat_err: 0.056, alt_err: 0.123
110013.00, 5350.0859546, N, 01738.7962653, E, Satellites: 16, HDOP: 0.7, lon_err: 0.085, lat_err: 0.056, alt_err: 0.122
110014.00, 5350.0859034, N, 01738.7964019, E, Satellites: 16, HDOP: 0.7, lon_err: 0.085, lat_err: 0.056, alt_err: 0.121
110015.00, 5350.0858497, N, 01738.7965318, E, Satellites: 16, HDOP: 0.7, lon_err: 0.084, lat_err: 0.055, alt_err: 0.120
110016.00, 5350.0857958, N, 01738.7966652, E, Satellites: 14, HDOP: 0.8, lon_err: 0.083, lat_err: 0.055, alt_err: 0.120
110017.00, 5350.0857425, N, 01738.7967957, E, Satellites: 14, HDOP: 0.8, lon_err: 0.083, lat_err: 0.055, alt_err: 0.119
110018.00, 5350.0856880, N, 01738.7969149, E, Satellites: 15, HDOP: 0.8, lon_err: 0.082, lat_err: 0.055, alt_err: 0.119
110019.00, 5350.0856407, N, 01738.7970470, E, Satellites: 15, HDOP: 0.8, lon_err: 0.082, lat_err: 0.055, alt_err: 0.118
