105400.00, 5432.6651288, N, 01832.7731217, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.022
105401.00, 5432.6651303, N, 01832.7731293, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.022
105402.00, 5432.6651290, N, 01832.7731354, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105403.00, 5432.6651302, N, 01832.7731217, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105404.00, 5432.6651299, N, 01832.7731189, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105405.00, 5432.6651314, N, 01832.7731227, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105406.00, 5432.6651314, N, 01832.7731200, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105407.00, 5432.6651311, N, 01832.7731228, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105408.00, 5432.6651307, N, 01832.7731234, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105409.00, 5432.6651300, N, 01832.7731197, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105410.00, 5432.6651288, N, 01832.7731195, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105411.00, 5432.6651291, N, 01832.7731214, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105412.00, 5432.6651301, N, 01832.7731200, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105413.00, 5432.6651277, N, 01832.7731294, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105414.00, 5432.6651280, N, 01832.7731301, E, Satellites: 12, lon_err: 0.009, lat_err: 0.027, alt_err: 0.021
105415.00, 5432.6651283, N, 01832.7731183, E, Satellites: 12, lon_err: 0.009, lat_err: 0.027, alt_err: 0.022
105416.00, 5432.6651296, N, 01832.7731202, E, Satellites: 12, lon_err: 0.009, lat_err: 0.027, alt_err: 0.022
105417.00, 5432.6651285, N, 01832.7731235, E, Satellites: 12, lon_err: 0.009, lat_err: 0.026, alt_err: 0.021
105418.00, 5432.6651283, N, 01832.7731222, E, Satellites: 12, lon_err: 0.009, lat_err: 0.026, alt_err: 0.022
105419.00, 5432.6651295, N, 01832.7731179, E, Satellites: 12, lon_err: 0.009, lat_err: 0.026, alt_err: 0.021
105420.00, 5432.6651284, N, 01832.7731233, E, Satellites: 12, lon_err: 0.009, lat_err: 0.026, alt_err: 0.021
