104843.00, 5432.6651219, N, 01832.7731488, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
104844.00, 5432.6651238, N, 01832.7731414, E, Satellites: 11, lon_err: 0.010, lat_err: 0.030, alt_err: 0.021
104845.00, 5432.6651226, N, 01832.7731544, E, Satellites: 11, lon_err: 0.010, lat_err: 0.030, alt_err: 0.021
104846.00, 5432.6651241, N, 01832.7731496, E, Satellites: 11, lon_err: 0.010, lat_err: 0.030, alt_err: 0.021
104847.00, 5432.6651227, N, 01832.7731558, E, Satellites: 12, lon_err: 0.010, lat_err: 0.029, alt_err: 0.020
104848.00, 5432.6651240, N, 01832.7731605, E, Satellites: 11, lon_err: 0.010, lat_err: 0.029, alt_err: 0.021
104849.00, 5432.6651249, N, 01832.7731351, E, Satellites: 11, lon_err: 0.010, lat_err: 0.029, alt_err: 0.021
104850.00, 5432.6651242, N, 01832.7731510, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
104851.00, 5432.6651240, N, 01832.7731479, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104852.00, 5432.6651249, N, 01832.7731511, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104853.00, 5432.6651252, N, 01832.7731457, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104854.00, 5432.6651247, N, 01832.7731427, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104855.00, 5432.6651255, N, 01832.7731385, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104856.00, 5432.6651241, N, 01832.7731522, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104857.00, 5432.6651252, N, 01832.7731558, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104858.00, 5432.6651259, N, 01832.7731436, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
