105219.00, 5432.6651283, N, 01832.7731598, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105220.00, 5432.6651291, N, 01832.7731585, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105221.00, 5432.6651285, N, 01832.7731605, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105222.00, 5432.6651284, N, 01832.7731497, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105223.00, 5432.6651283, N, 01832.7731572, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105224.00, 5432.6651292, N, 01832.7731630, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105225.00, 5432.6651282, N, 01832.7731692, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105226.00, 5432.6651293, N, 01832.7731726, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105227.00, 5432.6651295, N, 01832.7731701, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105228.00, 5432.6651298, N, 01832.7731634, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105229.00, 5432.6651295, N, 01832.7731743, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105230.00, 5432.6651299, N, 01832.7731628, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105231.00, 5432.6651286, N, 01832.7731544, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105232.00, 5432.6651297, N, 01832.7731629, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105233.00, 5432.6651281, N, 01832.7731617, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105234.00, 5432.6651297, N, 01832.7731718, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105235.00, 5432.6651285, N, 01832.7731666, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105236.00, 5432.6651294, N, 01832.7731616, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105237.00, 5432.6651283, N, 01832.7731653, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105238.00, 5432.6651300, N, 01832.7731618, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105239.00, 5432.6651309, N, 01832.7731619, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105240.00, 5432.6651297, N, 01832.7731622, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105241.00, 5432.6651290, N, 01832.7731732, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105242.00, 5432.6651294, N, 01832.7731664, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105243.00, 5432.6651298, N, 01832.7731681, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105244.00, 5432.6651309, N, 01832.7731716, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105245.00, 5432.6651280, N, 01832.7731651, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105246.00, 5432.6651295, N, 01832.7731612, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105247.00, 5432.6651280, N, 01832.7731704, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105248.00, 5432.6651304, N, 01832.7731584, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105249.00, 5432.6651303, N, 01832.7731555, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105250.00, 5432.6651298, N, 01832.7731572, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105251.00, 5432.6651301, N, 01832.7731630, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105252.00, 5432.6651288, N, 01832.7731568, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105253.00, 5432.6651286, N, 01832.7731612, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105254.00, 5432.6651299, N, 01832.7731567, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105255.00, 5432.6651291, N, 01832.7731623, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105256.00, 5432.6651312, N, 01832.7731583, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105257.00, 5432.6651313, N, 01832.7731606, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105258.00, 5432.6651298, N, 01832.7731585, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105259.00, 5432.6651302, N, 01832.7731596, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
