105300.00, 5432.6651288, N, 01832.7731679, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105301.00, 5432.6651286, N, 01832.7731589, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105302.00, 5432.6651304, N, 01832.7731622, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105303.00, 5432.6651292, N, 01832.7731593, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105304.00, 5432.6651305, N, 01832.7731548, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105305.00, 5432.6651282, N, 01832.7731673, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105306.00, 5432.6651282, N, 01832.7731692, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105307.00, 5432.6651300, N, 01832.7731543, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.021
105308.00, 5432.6651295, N, 01832.7731583, E, Satellites: 12, lon_err: 0.009, lat_err: 0.027, alt_err: 0.021
105309.00, 5432.6651302, N, 01832.7731619, E, Satellites: 12, lon_err: 0.009, lat_err: 0.027, alt_err: 0.021
105310.00, 5432.6651304, N, 01832.7731498, E, Satellites: 11, lon_err: 0.009, lat_err: 0.030, alt_err: 0.021
105311.00, 5432.6651309, N, 01832.7731558, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105312.00, 5432.6651304, N, 01832.7731573, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105313.00, 5432.6651297, N, 01832.7731524, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105314.00, 5432.6651296, N, 01832.7731485, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105315.00, 5432.6651308, N, 01832.7731530, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105316.00, 5432.6651304, N, 01832.7731504, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105317.00, 5432.6651291, N, 01832.7731491, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105318.00, 5432.6651308, N, 01832.7731478, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105319.00, 5432.6651313, N, 01832.7731451, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
