105500.00, 5432.6651316, N, 01832.7731082, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105501.00, 5432.6651323, N, 01832.7731002, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
105502.00, 5432.6651314, N, 01832.7731054, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.020
105503.00, 5432.6651315, N, 01832.7731060, E, Satellites: 11, lon_err: 0.009, lat_err: 0.028, alt_err: 0.021
105504.00, 5432.6651325, N, 01832.7731144, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.021
105505.00, 5432.6651318, N, 01832.7731156, E, Satellites: 11, lon_err: 0.009, lat_err: 0.028, alt_err: 0.021
105506.00, 5432.6651321, N, 01832.7731159, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.020
105507.00, 5432.6651319, N, 01832.7731220, E, Satellites: 12, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
105508.00, 5432.6651314, N, 01832.7731191, E, Satellites: 12, lon_err: 0.009, lat_err: 0.026, alt_err: 0.020
105509.00, 5432.6651325, N, 01832.7731221, E, Satellites: 12, lon_err: 0.009, lat_err: 0.026, alt_err: 0.020
105510.00, 5432.6651332, N, 01832.7731144, E, Satellites: 12, lon_err: 0.009, lat_err: 0.025, alt_err: 0.020
105511.00, 5432.6651327, N, 01832.7731129, E, Satellites: 12, lon_err: 0.009, lat_err: 0.025, alt_err: 0.020
105512.00, 5432.6651329, N, 01832.7731105, E, Satellites: 12, lon_err: 0.009, lat_err: 0.025, alt_err: 0.020
105513.00, 5432.6651315, N, 01832.7731182, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105514.00, 5432.6651321, N, 01832.7731157, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105515.00, 5432.6651333, N, 01832.7731234, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105516.00, 5432.6651317, N, 01832.7731248, E, Satellites: 12, lon_err: 0.009, lat_err: 0.024, alt_err: 0.020
105517.00, 5432.6651317, N, 01832.7731188, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
105518.00, 5432.6651328, N, 01832.7731217, E, Satellites: 11, lon_err: 0.009, lat_err: 0.028, alt_err: 0.020
105519.00, 5432.6651317, N, 01832.7731214, E, Satellites: 11, lon_err: 0.009, lat_err: 0.028, alt_err: 0.020
105520.00, 5432.6651320, N, 01832.7731159, E, Satellites: 11, lon_err: 0.009, lat_err: 0.028, alt_err: 0.020
105521.00, 5432.6651325, N, 01832.7731227, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
105522.00, 5432.6651315, N, 01832.7731309, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
105523.00, 5432.6651312, N, 01832.7731234, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
105524.00, 5432.6651311, N, 01832.7731281, E, Satellites: 11, lon_err: 0.009, lat_err: 0.029, alt_err: 0.020
