105413.60, 5350.12182, N, 01738.96397, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105413.80, 5350.12183, N, 01738.96397, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105414.00, 5350.12183, N, 01738.96398, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105414.20, 5350.12183, N, 01738.96398, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105414.40, 5350.12184, N, 01738.96397, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105414.60, 5350.12184, N, 01738.96398, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105414.80, 5350.12184, N, 01738.96398, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105415.00, 5350.12184, N, 01738.96398, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105415.20, 5350.12185, N, 01738.96398, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105415.40, 5350.12185, N, 01738.96399, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
105415.60, 5350.12185, N, 01738.96399, E, Satellites: 12, lon_err: ('0.33',), lat_err: ('0.21',), alt_err: 0.50, Acc_X: 960,Acc_Y: -15, Acc_Z: 58, Mag_X: 263, Mag_Y: 3663, Mag_Z: -1723
