105700.00, 5350.1044407, N, 01738.7706006, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105701.00, 5350.1044462, N, 01738.7706163, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105702.00, 5350.1044487, N, 01738.7705996, E, Satellites: 26, HDOP: 0.6, lon_err: 0.007, lat_err: 0.005, alt_err: 0.011
105703.00, 5350.1044620, N, 01738.7705955, E, Satellites: 26, HDOP: 0.6, lon_err: 0.007, lat_err: 0.004, alt_err: 0.010
105704.00, 5350.1044668, N, 01738.7705978, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105705.00, 5350.1044729, N, 01738.7706017, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105706.00, 5350.1044689, N, 01738.7705957, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105707.00, 5350.1044774, N, 01738.7706095, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105708.00, 5350.1044915, N, 01738.7706052, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105709.00, 5350.1045001, N, 01738.7706019, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105710.00, 5350.1045065, N, 01738.7706063, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105711.00, 5350.1045084, N, 01738.7706167, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105712.00, 5350.1045182, N, 01738.7706090, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105713.00, 5350.1045208, N, 01738.7706050, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105714.00, 5350.1045245, N, 01738.7706090, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105715.00, 5350.1045253, N, 01738.7706021, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105716.00, 5350.1045302, N, 01738.7706109, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105717.00, 5350.1045293, N, 01738.7706018, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105718.00, 5350.1045353, N, 01738.7706192, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105719.00, 5350.1045366, N, 01738.7706015, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
