105900.00, 5350.1041731, N, 01738.7705093, E, Satellites: 27, HDOP: 0.5, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105901.00, 5350.1041705, N, 01738.7704831, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105902.00, 5350.1041677, N, 01738.7704770, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105903.00, 5350.1041610, N, 01738.7704779, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.009
105904.00, 5350.1041520, N, 01738.7704773, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105905.00, 5350.1041463, N, 01738.7704747, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105906.00, 5350.1041422, N, 01738.7704805, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105907.00, 5350.1041422, N, 01738.7704780, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105908.00, 5350.1041423, N, 01738.7704767, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105909.00, 5350.1041376, N, 01738.7704839, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105910.00, 5350.1041418, N, 01738.7704751, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105911.00, 5350.1041405, N, 01738.7704816, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105912.00, 5350.1041371, N, 01738.7704861, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105913.00, 5350.1041405, N, 01738.7704804, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105914.00, 5350.1041462, N, 01738.7704806, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105915.00, 5350.1041416, N, 01738.7704806, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105916.00, 5350.1041400, N, 01738.7704713, E, Satellites: 21, HDOP: 0.7, lon_err: 0.007, lat_err: 0.004, alt_err: 0.010
105917.00, 5350.1041271, N, 01738.7704778, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105918.00, 5350.1041198, N, 01738.7704644, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105919.00, 5350.1041090, N, 01738.7704708, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
