105400.00, 5432.6652681, N, 01832.7729480, E, Satellites: 11, lon_err: 0.011, lat_err: 0.030, alt_err: 0.021
105401.00, 5432.6652699, N, 01832.7729609, E, Satellites: 11, lon_err: 0.011, lat_err: 0.030, alt_err: 0.021
105402.00, 5432.6652700, N, 01832.7729617, E, Satellites: 12, lon_err: 0.011, lat_err: 0.029, alt_err: 0.020
105403.00, 5432.6652683, N, 01832.7729717, E, Satellites: 12, lon_err: 0.010, lat_err: 0.028, alt_err: 0.020
105404.00, 5432.6652693, N, 01832.7729637, E, Satellites: 12, lon_err: 0.010, lat_err: 0.027, alt_err: 0.020
105405.00, 5432.6652703, N, 01832.7729557, E, Satellites: 12, lon_err: 0.010, lat_err: 0.027, alt_err: 0.020
105406.00, 5432.6652713, N, 01832.7729492, E, Satellites: 12, lon_err: 0.010, lat_err: 0.027, alt_err: 0.020
105407.00, 5432.6652712, N, 01832.7729330, E, Satellites: 12, lon_err: 0.010, lat_err: 0.027, alt_err: 0.020
105408.00, 5432.6652721, N, 01832.7729390, E, Satellites: 11, lon_err: 0.011, lat_err: 0.028, alt_err: 0.020
105409.00, 5432.6652697, N, 01832.7729481, E, Satellites: 10, lon_err: 0.012, lat_err: 0.033, alt_err: 0.020
105410.00, 5432.6652696, N, 01832.7729530, E, Satellites: 11, lon_err: 0.012, lat_err: 0.037, alt_err: 0.020
105411.00, 5432.6652682, N, 01832.7729600, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105412.00, 5432.6652669, N, 01832.7729750, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105413.00, 5432.6652675, N, 01832.7729695, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105414.00, 5432.6652665, N, 01832.7729700, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105415.00, 5432.6652651, N, 01832.7729616, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105416.00, 5432.6652674, N, 01832.7729703, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105417.00, 5432.6652680, N, 01832.7729580, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105418.00, 5432.6652665, N, 01832.7729692, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105419.00, 5432.6652661, N, 01832.7729669, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105420.00, 5432.6652664, N, 01832.7729645, E, Satellites: 10, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105421.00, 5432.6652677, N, 01832.7729657, E, Satellites: 10, lon_err: 0.013, lat_err: 0.039, alt_err: 0.020
105422.00, 5432.6652684, N, 01832.7729692, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105423.00, 5432.6652673, N, 01832.7729649, E, Satellites: 11, lon_err: 0.012, lat_err: 0.038, alt_err: 0.020
105424.00, 5432.6652686, N, 01832.7729675, E, Satellites: 10, lon_err: 0.012, lat_err: 0.037, alt_err: 0.020
105425.00, 5432.6652665, N, 01832.7729665, E, Satellites: 10, lon_err: 0.012, lat_err: 0.039, alt_err: 0.020
105426.00, 5432.6652664, N, 01832.7729636, E, Satellites: 10, lon_err: 0.012, lat_err: 0.039, alt_err: 0.020
105427.00, 5432.6652671, N, 01832.7729622, E, Satellites: 10, lon_err: 0.012, lat_err: 0.039, alt_err: 0.020
105428.00, 5432.6652693, N, 01832.7729653, E, Satellites: 10, lon_err: 0.012, lat_err: 0.039, alt_err: 0.021
105429.00, 5432.6652697, N, 01832.7729628, E, Satellites: 11, lon_err: 0.012, lat_err: 0.039, alt_err: 0.021
105430.00, 5432.6652687, N, 01832.7729692, E, Satellites: 11, lon_err: 0.012, lat_err: 0.034, alt_err: 0.021
105431.00, 5432.6652682, N, 01832.7729701, E, Satellites: 11, lon_err: 0.011, lat_err: 0.032, alt_err: 0.021
