104837.00, 5432.6652668, N, 01832.7729728, E, Satellites: 12, lon_err: 0.010, lat_err: 0.029, alt_err: 0.020
104838.00, 5432.6652689, N, 01832.7729764, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104839.00, 5432.6652689, N, 01832.7729785, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104840.00, 5432.6652689, N, 01832.7729767, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104841.00, 5432.6652672, N, 01832.7729678, E, Satellites: 12, lon_err: 0.009, lat_err: 0.028, alt_err: 0.019
104842.00, 5432.6652650, N, 01832.7729818, E, Satellites: 11, lon_err: 0.010, lat_err: 0.030, alt_err: 0.020
104843.00, 5432.6652647, N, 01832.7729815, E, Satellites: 12, lon_err: 0.011, lat_err: 0.032, alt_err: 0.021
104844.00, 5432.6652661, N, 01832.7729767, E, Satellites: 12, lon_err: 0.010, lat_err: 0.031, alt_err: 0.020
104845.00, 5432.6652665, N, 01832.7729785, E, Satellites: 12, lon_err: 0.010, lat_err: 0.031, alt_err: 0.020
104846.00, 5432.6652652, N, 01832.7729871, E, Satellites: 11, lon_err: 0.010, lat_err: 0.032, alt_err: 0.020
104847.00, 5432.6652642, N, 01832.7729879, E, Satellites: 12, lon_err: 0.011, lat_err: 0.032, alt_err: 0.021
