105800.00, 5350.1042942, N, 01738.7705527, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105801.00, 5350.1042895, N, 01738.7705492, E, Satellites: 27, HDOP: 0.5, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105802.00, 5350.1042630, N, 01738.7705152, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105803.00, 5350.1042533, N, 01738.7705036, E, Satellites: 26, HDOP: 0.6, lon_err: 0.109, lat_err: 0.066, alt_err: 0.151
105804.00, 5350.1042482, N, 01738.7704786, E, Satellites: 26, HDOP: 0.6, lon_err: 0.097, lat_err: 0.056, alt_err: 0.134
105805.00, 5350.1042346, N, 01738.7704832, E, Satellites: 27, HDOP: 0.5, lon_err: 0.094, lat_err: 0.054, alt_err: 0.129
105806.00, 5350.1042282, N, 01738.7704702, E, Satellites: 27, HDOP: 0.5, lon_err: 0.093, lat_err: 0.053, alt_err: 0.128
105807.00, 5350.1042203, N, 01738.7704787, E, Satellites: 27, HDOP: 0.5, lon_err: 0.091, lat_err: 0.052, alt_err: 0.126
105808.00, 5350.1042187, N, 01738.7704789, E, Satellites: 27, HDOP: 0.5, lon_err: 0.091, lat_err: 0.052, alt_err: 0.125
105809.00, 5350.1042254, N, 01738.7704881, E, Satellites: 27, HDOP: 0.5, lon_err: 0.090, lat_err: 0.052, alt_err: 0.125
105810.00, 5350.1042296, N, 01738.7704863, E, Satellites: 27, HDOP: 0.5, lon_err: 0.089, lat_err: 0.051, alt_err: 0.124
105811.00, 5350.1042349, N, 01738.7705008, E, Satellites: 27, HDOP: 0.5, lon_err: 0.089, lat_err: 0.051, alt_err: 0.123
105812.00, 5350.1042422, N, 01738.7704938, E, Satellites: 27, HDOP: 0.5, lon_err: 0.088, lat_err: 0.051, alt_err: 0.122
105813.00, 5350.1042500, N, 01738.7704903, E, Satellites: 27, HDOP: 0.5, lon_err: 0.088, lat_err: 0.050, alt_err: 0.122
105814.00, 5350.1042556, N, 01738.7704930, E, Satellites: 27, HDOP: 0.5, lon_err: 0.087, lat_err: 0.050, alt_err: 0.121
105815.00, 5350.1042591, N, 01738.7705009, E, Satellites: 27, HDOP: 0.5, lon_err: 0.086, lat_err: 0.050, alt_err: 0.120
105816.00, 5350.1042647, N, 01738.7705065, E, Satellites: 27, HDOP: 0.5, lon_err: 0.086, lat_err: 0.049, alt_err: 0.119
105817.00, 5350.1042653, N, 01738.7705040, E, Satellites: 27, HDOP: 0.5, lon_err: 0.085, lat_err: 0.049, alt_err: 0.119
105818.00, 5350.1042570, N, 01738.7704950, E, Satellites: 27, HDOP: 0.5, lon_err: 0.085, lat_err: 0.049, alt_err: 0.118
105819.00, 5350.1042509, N, 01738.7704986, E, Satellites: 27, HDOP: 0.5, lon_err: 0.084, lat_err: 0.049, alt_err: 0.117
