105600.00, 5350.1262040, N, 01738.7969724, E, Satellites: 27, HDOP: 0.5, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105601.00, 5350.1261811, N, 01738.7969440, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105602.00, 5350.1261518, N, 01738.7969235, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105603.00, 5350.1261398, N, 01738.7969234, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105604.00, 5350.1261357, N, 01738.7969217, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105605.00, 5350.1261102, N, 01738.7968959, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105606.00, 5350.1260822, N, 01738.7968564, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105607.00, 5350.1260656, N, 01738.7968466, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105608.00, 5350.1260555, N, 01738.7968545, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105609.00, 5350.1260412, N, 01738.7968151, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105610.00, 5350.1260193, N, 01738.7967729, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105611.00, 5350.1260015, N, 01738.7967645, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105612.00, 5350.1259973, N, 01738.7967664, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105613.00, 5350.1259788, N, 01738.7967405, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105614.00, 5350.1259598, N, 01738.7967145, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105615.00, 5350.1259489, N, 01738.7967092, E, Satellites: 27, HDOP: 0.5, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105616.00, 5350.1259348, N, 01738.7966684, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105617.00, 5350.1259447, N, 01738.7966711, E, Satellites: 25, HDOP: 0.6, lon_err: 0.113, lat_err: 0.068, alt_err: 0.155
105618.00, 5350.1259201, N, 01738.7966590, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105619.00, 5350.1259089, N, 01738.7966554, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
