105600.00, 5350.1039722, N, 01738.7703908, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105601.00, 5350.1039707, N, 01738.7703941, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105602.00, 5350.1039687, N, 01738.7703888, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105603.00, 5350.1039654, N, 01738.7703908, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105604.00, 5350.1039711, N, 01738.7703839, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105605.00, 5350.1039712, N, 01738.7703984, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105606.00, 5350.1039795, N, 01738.7703921, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105607.00, 5350.1039844, N, 01738.7703999, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105608.00, 5350.1039911, N, 01738.7704110, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105609.00, 5350.1039984, N, 01738.7704060, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105610.00, 5350.1040101, N, 01738.7704182, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105611.00, 5350.1040210, N, 01738.7704187, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105612.00, 5350.1040324, N, 01738.7704258, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105613.00, 5350.1040440, N, 01738.7704351, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105614.00, 5350.1040548, N, 01738.7704440, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105615.00, 5350.1040634, N, 01738.7704416, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105616.00, 5350.1040565, N, 01738.7704219, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105617.00, 5350.1040784, N, 01738.7704607, E, Satellites: 25, HDOP: 0.6, lon_err: 0.109, lat_err: 0.065, alt_err: 0.152
105618.00, 5350.1040960, N, 01738.7704623, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105619.00, 5350.1041149, N, 01738.7704651, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
