110030.00, 5350.1040321, N, 01738.7704292, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
110031.00, 5350.1040254, N, 01738.7704364, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110032.00, 5350.1040154, N, 01738.7704308, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110033.00, 5350.1040036, N, 01738.7704237, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
110034.00, 5350.1039896, N, 01738.7704139, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110035.00, 5350.1039806, N, 01738.7704122, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
110036.00, 5350.1039743, N, 01738.7704132, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110037.00, 5350.1039678, N, 01738.7704020, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110038.00, 5350.1039661, N, 01738.7703972, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110039.00, 5350.1039688, N, 01738.7704027, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110040.00, 5350.1039683, N, 01738.7704002, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110041.00, 5350.1039679, N, 01738.7704004, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110042.00, 5350.1039657, N, 01738.7704063, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110043.00, 5350.1039686, N, 01738.7703946, E, Satellites: 22, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110044.00, 5350.1039721, N, 01738.7704105, E, Satellites: 22, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110045.00, 5350.1039752, N, 01738.7704015, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110046.00, 5350.1039834, N, 01738.7704104, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110047.00, 5350.1039835, N, 01738.7704108, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110048.00, 5350.1039935, N, 01738.7704204, E, Satellites: 22, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
110049.00, 5350.1040145, N, 01738.7704304, E, Satellites: 22, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
