105730.00, 5350.1044150, N, 01738.7705787, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105731.00, 5350.1044033, N, 01738.7705748, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105732.00, 5350.1043932, N, 01738.7705696, E, Satellites: 25, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105733.00, 5350.1043805, N, 01738.7705732, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105734.00, 5350.1043644, N, 01738.7705559, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105735.00, 5350.1043559, N, 01738.7705694, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105736.00, 5350.1043382, N, 01738.7705610, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105737.00, 5350.1043279, N, 01738.7705580, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105738.00, 5350.1043182, N, 01738.7705428, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105739.00, 5350.1043112, N, 01738.7705461, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105740.00, 5350.1043031, N, 01738.7705437, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105741.00, 5350.1042956, N, 01738.7705425, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105742.00, 5350.1042931, N, 01738.7705417, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105743.00, 5350.1042918, N, 01738.7705380, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105744.00, 5350.1042893, N, 01738.7705603, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105745.00, 5350.1042839, N, 01738.7705438, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105746.00, 5350.1042843, N, 01738.7705555, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105747.00, 5350.1042844, N, 01738.7705355, E, Satellites: 27, HDOP: 0.5, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105748.00, 5350.1042812, N, 01738.7705557, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
105749.00, 5350.1042828, N, 01738.7705484, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.006
