110000.00, 5350.1040945, N, 01738.7704638, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
110001.00, 5350.1040996, N, 01738.7704652, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110002.00, 5350.1041058, N, 01738.7704700, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110003.00, 5350.1041090, N, 01738.7704734, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110004.00, 5350.1041158, N, 01738.7704715, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110005.00, 5350.1041207, N, 01738.7704787, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110006.00, 5350.1041209, N, 01738.7704800, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110007.00, 5350.1041193, N, 01738.7704770, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110008.00, 5350.1041248, N, 01738.7704822, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110009.00, 5350.1041283, N, 01738.7704715, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110010.00, 5350.1041228, N, 01738.7704867, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110011.00, 5350.1041167, N, 01738.7704820, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110012.00, 5350.1041167, N, 01738.7704787, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110013.00, 5350.1041178, N, 01738.7704707, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110014.00, 5350.1041147, N, 01738.7704717, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110015.00, 5350.1041122, N, 01738.7704675, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
110016.00, 5350.1041074, N, 01738.7704703, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110017.00, 5350.1041092, N, 01738.7704629, E, Satellites: 21, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
110018.00, 5350.1040982, N, 01738.7704630, E, Satellites: 21, HDOP: 0.7, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
110019.00, 5350.1040858, N, 01738.7704627, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
