time	GPS1_lat	GPS1_lon	GPS2_lat	GPS2_lon	GPS3_lat	GPS3_lon	GPS_OP_lat	GPS_OP_lon	TDOA12	TDOA13	TDOA23
113400	53.83544209333	17.64662125500	53.83506081667	17.64616991500	53.83582719833	17.64671305167	53.83584720000	17.64638317000	-40.011562	26.758594	64.243594
113401	53.83544178167	17.64662176833	53.83506093167	17.64616976167	53.83582654833	17.64671564333	53.83583001000	17.64637227000	-39.799851	26.300217	68.480829
113402	53.83544170667	17.64662141167	53.83506107000	17.64616982167	53.83582611000	17.64671832000	53.83581279000	17.64636039000	-39.523227	24.300938	65.498886
113403	53.83544188000	17.64662136667	53.83506127167	17.64617006833	53.83582568333	17.64672082333	53.83579557000	17.64634791000	-38.945014	21.521719	65.425985
113404	53.83544176833	17.64662157167	53.83506141667	17.64617043167	53.83582531667	17.64672338833	53.83577836000	17.64633536000	-38.404749	20.321352	59.585931
113405	53.83544123167	17.64662137833	53.83506166000	17.64617053667	53.83582488500	17.64672594833	53.83576095000	17.64632283000	-37.356175	17.508179	53.550143
113406	53.83544108833	17.64662181333	53.83506195167	17.64617061333	53.83582431000	17.64672832333	53.83574362000	17.64630998000	-36.838879	15.478940	49.031291
113407	53.83544158333	17.64662152667	53.83506213833	17.64617084833	53.83582367500	17.64673072000	53.83572613000	17.64629743000	-35.849226	13.377799	51.013594
113408	53.83544158333	17.64662150667	53.83506228833	17.64617089333	53.83582302000	17.64673300333	53.83570875000	17.64628459000	-30.650299	11.185781	49.107187
113409	53.83544112167	17.64662088167	53.83506241667	17.64617112167	53.83582247500	17.64673526500	53.83569144000	17.64627172000	-34.260387	8.533390	50.914728
113410	53.83544095333	17.64662114000	53.83506268000	17.64617147333	53.83582191000	17.64673760333	53.83567412000	17.64625865000	-33.035054	6.572058	40.673662
113411	53.83544144833	17.64662191667	53.83506285000	17.64617137667	53.83582142833	17.64673989167	53.83565684000	17.64624594000	-34.009728	4.760523	41.234898
113412	53.83544122333	17.64662207333	53.83506298500	17.64617163500	53.83582085333	17.64674204500	53.83563952000	17.64623333000	-36.285632	0.903770	34.064654
113413	53.83544075333	17.64662169833	53.83506310500	17.64617191000	53.83582019000	17.64674418667	53.83562226000	17.64622051000	-29.708580	-0.964688	29.153336
113414	53.83544090333	17.64662072167	53.83506330000	17.64617169333	53.83581961500	17.64674645000	53.83560503000	17.64620784000	-30.578397	-2.421705	25.537255
113415	53.83544131333	17.64662125000	53.83506346000	17.64617185000	53.83581903000	17.64674875167	53.83558760000	17.64619536000	-25.270618	-4.315129	18.063424
113416	53.83544133333	17.64662172167	53.83506354000	17.64617221667	53.83581854167	17.64675121667	53.83557014000	17.64618292000	-25.368485	-6.296433	20.989443
113417	53.83544075333	17.64662100667	53.83506374167	17.64617205000	53.83581807667	17.64675383500	53.83555271000	17.64617027000	-22.016046	-8.192853	10.764355
113418	53.83544074167	17.64662121000	53.83506390167	17.64617239833	53.83581757667	17.64675625333	53.83553535000	17.64615737000	-20.997931	-9.638886	1.939861
113419	53.83544126667	17.64662145333	53.83506406333	17.64617237667	53.83581701500	17.64675858667	53.83551813000	17.64614450000	-19.995795	-9.617914	4.387031
