113400.00, 5350.1265256, N, 01738.7972753, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.004, alt_err: 0.007
113401.00, 5350.1265069, N, 01738.7973061, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
113402.00, 5350.1265024, N, 01738.7972847, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113403.00, 5350.1265128, N, 01738.7972820, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
113404.00, 5350.1265061, N, 01738.7972943, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.009
113405.00, 5350.1264739, N, 01738.7972827, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113406.00, 5350.1264653, N, 01738.7973088, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113407.00, 5350.1264950, N, 01738.7972916, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
113408.00, 5350.1264950, N, 01738.7972904, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113409.00, 5350.1264673, N, 01738.7972529, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113410.00, 5350.1264572, N, 01738.7972684, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113411.00, 5350.1264869, N, 01738.7973150, E, Satellites: 29, HDOP: 0.5, lon_err: 0.006, lat_err: 0.006, alt_err: 0.011
113412.00, 5350.1264734, N, 01738.7973244, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113413.00, 5350.1264452, N, 01738.7973019, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113414.00, 5350.1264542, N, 01738.7972433, E, Satellites: 29, HDOP: 0.5, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
113415.00, 5350.1264788, N, 01738.7972750, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113416.00, 5350.1264800, N, 01738.7973033, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113417.00, 5350.1264452, N, 01738.7972604, E, Satellites: 29, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113418.00, 5350.1264445, N, 01738.7972726, E, Satellites: 30, HDOP: 0.5, lon_err: 0.004, lat_err: 0.003, alt_err: 0.007
113419.00, 5350.1264760, N, 01738.7972872, E, Satellites: 30, HDOP: 0.5, lon_err: 0.004, lat_err: 0.004, alt_err: 0.008
