102055.60, 5350.15604, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102055.80, 5350.15605, N, 01738.90324, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102056.00, 5350.15605, N, 01738.90323, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102056.20, 5350.15605, N, 01738.90323, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102056.40, 5350.15606, N, 01738.90322, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102056.60, 5350.15606, N, 01738.90322, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102056.80, 5350.15606, N, 01738.90322, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102057.00, 5350.15607, N, 01738.90322, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102057.20, 5350.15607, N, 01738.90322, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102057.40, 5350.15608, N, 01738.90321, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
