0.001065	0.988790	0.003244	0.006901
0.001657	0.850640	0.084165	0.063538
0.086573	0.054268	0.281774	0.577385
0.000059	0.948440	0.047235	0.004265
0.000557	0.941261	0.011182	0.047000
0.000270	0.694889	0.020840	0.284001
0.000022	0.846943	0.001189	0.151846
0.140374	0.850477	0.004843	0.004306
0.000109	0.990707	0.000893	0.008291
0.002385	0.929893	0.003180	0.064542
0.000061	0.996104	0.000868	0.002967
0.000330	0.996956	0.001176	0.001538
0.000242	0.998355	0.001115	0.000289
0.001185	0.967466	0.003752	0.027597
0.011004	0.981804	0.000305	0.006888
0.012676	0.916729	0.007699	0.062896
0.014535	0.797754	0.024502	0.163209
0.001975	0.972237	0.019891	0.005896
0.000001	0.999854	0.000009	0.000136
0.000331	0.985582	0.004556	0.009531
0.013717	0.838196	0.014141	0.133945
0.000073	0.862171	0.008951	0.128804
0.000753	0.725258	0.005443	0.268545
0.001510	0.301302	0.002548	0.694641
0.000149	0.575124	0.020843	0.403884
0.001409	0.935137	0.003315	0.060139
0.000061	0.987788	0.001309	0.010843
0.000098	0.583142	0.021670	0.395090
0.002432	0.426633	0.099326	0.471609
0.000003	0.985809	0.001391	0.012797
0.000208	0.708269	0.001117	0.290405
0.002601	0.843515	0.013706	0.140177
0.013248	0.146261	0.005019	0.835472
0.000485	0.769421	0.042436	0.187658
0.000001	0.996726	0.000054	0.003219
0.000411	0.743374	0.250943	0.005272
0.000032	0.070502	0.000950	0.928517
0.000201	0.829314	0.003424	0.167061
0.000000	0.987341	0.000006	0.012652
0.008413	0.292560	0.100814	0.598213
0.000001	0.999893	0.000100	0.000006
0.000001	0.999566	0.000421	0.000013
0.000008	0.999898	0.000088	0.000006
0.000001	0.999024	0.000344	0.000631
0.000140	0.994902	0.002164	0.002794
0.000045	0.871329	0.112896	0.015730
0.003180	0.966020	0.013858	0.016941
0.000012	0.999981	0.000007	0.000000
0.000015	0.982133	0.002018	0.015835
0.151862	0.839513	0.003566	0.005059
0.000360	0.944176	0.020005	0.035459
0.000004	0.999964	0.000006	0.000025
0.000000	0.990345	0.000079	0.009576
0.003237	0.987839	0.007295	0.001629
0.047197	0.905051	0.044409	0.003342
0.000885	0.897903	0.096887	0.004325
0.000030	0.978685	0.019903	0.001381
0.000401	0.994053	0.000052	0.005494
0.001031	0.867494	0.000158	0.131317
0.000525	0.973254	0.000004	0.026217
0.042648	0.775802	0.010230	0.171320
0.000015	0.215116	0.000407	0.784463
0.000057	0.998254	0.000225	0.001463
0.100980	0.881587	0.016260	0.001173
0.009137	0.222294	0.008203	0.760366
0.047648	0.881203	0.008505	0.062644
0.005691	0.990513	0.000247	0.003549
0.002540	0.981601	0.001794	0.014065
0.000109	0.283568	0.021122	0.695201
0.001354	0.769915	0.127780	0.100951
0.000076	0.999103	0.000020	0.000801
0.040950	0.303868	0.001283	0.653899
0.004223	0.972602	0.019134	0.004042
0.000079	0.986610	0.013109	0.000203
0.000271	0.005002	0.000418	0.994309
0.074093	0.828060	0.043239	0.054607
0.059404	0.858592	0.022072	0.059932
0.001649	0.973011	0.025163	0.000177
0.000779	0.997288	0.000914	0.001019
0.004023	0.793876	0.174805	0.027296
0.002820	0.748575	0.001483	0.247122
0.012611	0.397487	0.090671	0.499231
0.009892	0.218669	0.042583	0.728856
0.004239	0.156906	0.002370	0.836485
0.000217	0.968132	0.001239	0.030413
0.005854	0.169154	0.001890	0.823103
0.001666	0.189434	0.004394	0.804506
0.476347	0.011812	0.000122	0.511719
0.166848	0.399313	0.001752	0.432087
0.000038	0.007571	0.000003	0.992388
0.000819	0.016548	0.002836	0.979797
0.011764	0.511182	0.081352	0.395703
0.377922	0.444457	0.167152	0.010469
0.929871	0.018956	0.022218	0.028955
0.546098	0.287032	0.064034	0.102835
0.018477	0.876264	0.084363	0.020896
0.048883	0.309523	0.449493	0.192101
0.175921	0.209900	0.154236	0.459943
0.055654	0.753598	0.148494	0.042254
0.009679	0.045192	0.002591	0.942539
0.310270	0.527285	0.155688	0.006758
0.000370	0.969664	0.007718	0.022249
0.696715	0.238226	0.015219	0.049840
0.210081	0.004668	0.054953	0.730297
0.093180	0.729522	0.034760	0.142538
0.019992	0.357011	0.407538	0.215460
0.001003	0.981961	0.002533	0.014503
0.051242	0.019166	0.055541	0.874051
0.003473	0.325279	0.659545	0.011702
0.002646	0.042526	0.050543	0.904285
0.796323	0.116171	0.070353	0.017153
0.725003	0.223598	0.023481	0.027917
0.263940	0.103712	0.168771	0.463576
0.242393	0.190959	0.527528	0.039120
0.778937	0.003555	0.092494	0.125014
0.036005	0.020395	0.879933	0.063667
0.014046	0.017066	0.003946	0.964942
0.035189	0.462758	0.184143	0.317910
0.017837	0.731059	0.194265	0.056839
0.028907	0.011979	0.945261	0.013854
0.000130	0.274099	0.001314	0.724457
0.001022	0.957629	0.027715	0.013633
0.000100	0.999455	0.000177	0.000268
0.002308	0.098893	0.002480	0.896319
0.027620	0.941157	0.015590	0.015634
0.000050	0.106228	0.015312	0.878410
0.113141	0.722565	0.156887	0.007406
0.034915	0.816880	0.128869	0.019336
0.073189	0.443961	0.090517	0.392333
0.005375	0.166114	0.160886	0.667625
0.005393	0.589337	0.361150	0.044119
0.011618	0.081575	0.338951	0.567855
0.000215	0.960331	0.009142	0.030312
0.001216	0.987474	0.006740	0.004570
0.000009	0.994796	0.000210	0.004986
0.000021	0.051420	0.001846	0.946713
0.100078	0.487124	0.015059	0.397739
0.082387	0.035267	0.084569	0.797777
0.162723	0.805439	0.009339	0.022500
0.035707	0.132549	0.161063	0.670681
0.001216	0.818498	0.032912	0.147374
0.000097	0.219227	0.769250	0.011426
0.013799	0.030021	0.040275	0.915906
0.001005	0.933683	0.056741	0.008570
0.006451	0.020316	0.004543	0.968689
0.000916	0.977643	0.005235	0.016206
0.188616	0.305953	0.035480	0.469951
0.004843	0.971297	0.000427	0.023433
0.003479	0.389641	0.555819	0.051061
0.293062	0.496381	0.009407	0.201151
0.041513	0.719815	0.046755	0.191918
0.003175	0.152422	0.810842	0.033561
0.013278	0.931037	0.002825	0.052860
0.018866	0.872693	0.080292	0.028149
0.002422	0.846327	0.004657	0.146594
0.003050	0.909706	0.014232	0.073013
0.000659	0.095668	0.003779	0.899894
0.065664	0.910119	0.001101	0.023116
0.000273	0.946176	0.016664	0.036887
0.000013	0.985438	0.000173	0.014375
0.000004	0.968124	0.014437	0.017435
0.000002	0.998061	0.000688	0.001250
0.000001	0.999975	0.000002	0.000022
0.000000	0.999999	0.000000	0.000000
0.000012	0.993755	0.001481	0.004751
0.000001	0.979982	0.006790	0.013227
0.000130	0.997806	0.001379	0.000685
0.000058	0.989867	0.001389	0.008686
0.000023	0.995615	0.003501	0.000861
0.000015	0.999658	0.000110	0.000217
0.000353	0.891668	0.104285	0.003693
0.011704	0.443729	0.529542	0.015024
0.000127	0.994610	0.005162	0.000101
0.000051	0.999776	0.000063	0.000109
0.000064	0.999777	0.000004	0.000156
0.006211	0.919041	0.036771	0.037977
0.028104	0.787237	0.167906	0.016753
0.000379	0.748094	0.001131	0.250395
0.002054	0.099396	0.004963	0.893586
0.071327	0.415084	0.002768	0.510821
0.022877	0.126259	0.002641	0.848223
0.613266	0.337485	0.000155	0.049094
0.002961	0.074800	0.007955	0.914284
0.006934	0.664545	0.000121	0.328400
0.050592	0.260869	0.018206	0.670333
0.000266	0.108665	0.000186	0.890883
