105830.00, 5350.0896470, N, 01738.7863561, E, Satellites: 20, HDOP: 0.7, lon_err: 0.095, lat_err: 0.069, alt_err: 0.147
105831.00, 5350.0896262, N, 01738.7864239, E, Satellites: 21, HDOP: 0.6, lon_err: 0.094, lat_err: 0.069, alt_err: 0.146
105832.00, 5350.0895954, N, 01738.7864879, E, Satellites: 18, HDOP: 0.7, lon_err: 0.093, lat_err: 0.068, alt_err: 0.145
105833.00, 5350.0895702, N, 01738.7865584, E, Satellites: 19, HDOP: 0.6, lon_err: 0.093, lat_err: 0.068, alt_err: 0.144
105834.00, 5350.0895499, N, 01738.7866352, E, Satellites: 18, HDOP: 0.7, lon_err: 0.092, lat_err: 0.067, alt_err: 0.143
105835.00, 5350.0896705, N, 01738.7866979, E, Satellites: 19, HDOP: 0.7, lon_err: 0.091, lat_err: 0.067, alt_err: 0.142
105836.00, 5350.0896665, N, 01738.7867682, E, Satellites: 19, HDOP: 0.7, lon_err: 0.172, lat_err: 0.130, alt_err: 0.264
105837.00, 5350.0896494, N, 01738.7868362, E, Satellites: 19, HDOP: 0.7, lon_err: 0.146, lat_err: 0.108, alt_err: 0.227
105838.00, 5350.0896404, N, 01738.7869115, E, Satellites: 19, HDOP: 0.7, lon_err: 0.141, lat_err: 0.104, alt_err: 0.220
105839.00, 5350.0896336, N, 01738.7869865, E, Satellites: 19, HDOP: 0.7, lon_err: 0.139, lat_err: 0.102, alt_err: 0.216
105840.00, 5350.0896239, N, 01738.7870517, E, Satellites: 19, HDOP: 0.7, lon_err: 0.137, lat_err: 0.100, alt_err: 0.213
105841.00, 5350.0896032, N, 01738.7871249, E, Satellites: 19, HDOP: 0.7, lon_err: 0.135, lat_err: 0.099, alt_err: 0.211
105842.00, 5350.0895817, N, 01738.7872080, E, Satellites: 20, HDOP: 0.7, lon_err: 0.134, lat_err: 0.098, alt_err: 0.209
105843.00, 5350.0895639, N, 01738.7873094, E, Satellites: 20, HDOP: 0.7, lon_err: 0.132, lat_err: 0.096, alt_err: 0.206
105844.00, 5350.0895429, N, 01738.7873997, E, Satellites: 20, HDOP: 0.7, lon_err: 0.131, lat_err: 0.093, alt_err: 0.201
105845.00, 5350.0895336, N, 01738.7874910, E, Satellites: 20, HDOP: 0.7, lon_err: 0.129, lat_err: 0.092, alt_err: 0.198
105846.00, 5350.0895189, N, 01738.7875862, E, Satellites: 20, HDOP: 0.7, lon_err: 0.128, lat_err: 0.090, alt_err: 0.196
105847.00, 5350.0895006, N, 01738.7876698, E, Satellites: 21, HDOP: 0.6, lon_err: 0.127, lat_err: 0.089, alt_err: 0.194
105848.00, 5350.0894699, N, 01738.7877447, E, Satellites: 20, HDOP: 0.7, lon_err: 0.125, lat_err: 0.088, alt_err: 0.191
105849.00, 5350.0894387, N, 01738.7878200, E, Satellites: 20, HDOP: 0.7, lon_err: 0.124, lat_err: 0.087, alt_err: 0.188
