105900.00, 5350.0891007, N, 01738.7886470, E, Satellites: 20, HDOP: 0.7, lon_err: 0.113, lat_err: 0.079, alt_err: 0.171
105901.00, 5350.0890292, N, 01738.7887458, E, Satellites: 13, HDOP: 1.2, lon_err: 0.112, lat_err: 0.079, alt_err: 0.170
105902.00, 5350.0889896, N, 01738.7888629, E, Satellites: 13, HDOP: 1.1, lon_err: 0.153, lat_err: 0.106, alt_err: 0.199
105903.00, 5350.0889564, N, 01738.7889202, E, Satellites: 14, HDOP: 0.9, lon_err: 0.187, lat_err: 0.121, alt_err: 0.207
105904.00, 5350.0889283, N, 01738.7889990, E, Satellites: 15, HDOP: 0.8, lon_err: 0.161, lat_err: 0.102, alt_err: 0.196
105905.00, 5350.0888939, N, 01738.7890829, E, Satellites: 15, HDOP: 0.8, lon_err: 0.154, lat_err: 0.097, alt_err: 0.189
105906.00, 5350.0888576, N, 01738.7891547, E, Satellites: 16, HDOP: 0.7, lon_err: 0.149, lat_err: 0.094, alt_err: 0.186
105907.00, 5350.0888349, N, 01738.7892228, E, Satellites: 15, HDOP: 0.8, lon_err: 0.146, lat_err: 0.092, alt_err: 0.184
105908.00, 5350.0888085, N, 01738.7892901, E, Satellites: 15, HDOP: 0.8, lon_err: 0.145, lat_err: 0.091, alt_err: 0.182
105909.00, 5350.0887780, N, 01738.7893546, E, Satellites: 14, HDOP: 1.0, lon_err: 0.144, lat_err: 0.090, alt_err: 0.181
105910.00, 5350.0887492, N, 01738.7894287, E, Satellites: 15, HDOP: 0.8, lon_err: 0.143, lat_err: 0.089, alt_err: 0.180
105911.00, 5350.0887330, N, 01738.7895010, E, Satellites: 14, HDOP: 1.0, lon_err: 0.141, lat_err: 0.088, alt_err: 0.178
105912.00, 5350.0887091, N, 01738.7895782, E, Satellites: 13, HDOP: 1.1, lon_err: 0.140, lat_err: 0.087, alt_err: 0.178
105913.00, 5350.0886858, N, 01738.7896571, E, Satellites: 14, HDOP: 0.9, lon_err: 0.139, lat_err: 0.086, alt_err: 0.176
105914.00, 5350.0886639, N, 01738.7897476, E, Satellites: 14, HDOP: 0.9, lon_err: 0.137, lat_err: 0.085, alt_err: 0.176
105915.00, 5350.0886295, N, 01738.7898332, E, Satellites: 16, HDOP: 0.7, lon_err: 0.136, lat_err: 0.083, alt_err: 0.174
105916.00, 5350.0885917, N, 01738.7899228, E, Satellites: 14, HDOP: 1.0, lon_err: 0.134, lat_err: 0.082, alt_err: 0.172
105917.00, 5350.0885595, N, 01738.7900096, E, Satellites: 15, HDOP: 0.8, lon_err: 0.133, lat_err: 0.082, alt_err: 0.171
105918.00, 5350.0885345, N, 01738.7901046, E, Satellites: 15, HDOP: 0.8, lon_err: 0.132, lat_err: 0.081, alt_err: 0.170
105919.00, 5350.0884943, N, 01738.7901894, E, Satellites: 15, HDOP: 0.8, lon_err: 0.131, lat_err: 0.081, alt_err: 0.168
