105630.00, 5350.0936229, N, 01738.7736997, E, Satellites: 16, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.011
105631.00, 5350.0936139, N, 01738.7738209, E, Satellites: 16, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105632.00, 5350.0936092, N, 01738.7739448, E, Satellites: 17, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105633.00, 5350.0936042, N, 01738.7740690, E, Satellites: 17, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.011
105634.00, 5350.0936032, N, 01738.7741962, E, Satellites: 18, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105635.00, 5350.0936059, N, 01738.7743258, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105636.00, 5350.0936062, N, 01738.7744568, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105637.00, 5350.0936021, N, 01738.7745967, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105638.00, 5350.0936080, N, 01738.7747393, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105639.00, 5350.0936114, N, 01738.7748787, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105640.00, 5350.0936217, N, 01738.7750170, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105641.00, 5350.0936274, N, 01738.7751480, E, Satellites: 20, HDOP: 0.7, lon_err: 0.007, lat_err: 0.004, alt_err: 0.010
105642.00, 5350.0936287, N, 01738.7752806, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105643.00, 5350.0936246, N, 01738.7754036, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105644.00, 5350.0936171, N, 01738.7755301, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105645.00, 5350.0935996, N, 01738.7756463, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105646.00, 5350.0935810, N, 01738.7757674, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105647.00, 5350.0935569, N, 01738.7758836, E, Satellites: 19, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105648.00, 5350.0935313, N, 01738.7759969, E, Satellites: 19, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105649.00, 5350.0935113, N, 01738.7761138, E, Satellites: 19, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
