105700.00, 5350.0932656, N, 01738.7773048, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105701.00, 5350.0932402, N, 01738.7774270, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105702.00, 5350.0932170, N, 01738.7775593, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105703.00, 5350.0931978, N, 01738.7777061, E, Satellites: 20, HDOP: 0.7, lon_err: 0.007, lat_err: 0.004, alt_err: 0.010
105704.00, 5350.0931636, N, 01738.7778498, E, Satellites: 20, HDOP: 0.7, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105705.00, 5350.0931197, N, 01738.7779922, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105706.00, 5350.0930706, N, 01738.7781163, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105707.00, 5350.0930221, N, 01738.7782177, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105708.00, 5350.0929752, N, 01738.7783070, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105709.00, 5350.0929305, N, 01738.7783978, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105710.00, 5350.0928844, N, 01738.7784873, E, Satellites: 18, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105711.00, 5350.0928355, N, 01738.7785811, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105712.00, 5350.0927942, N, 01738.7786858, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105713.00, 5350.0927532, N, 01738.7787944, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
105714.00, 5350.0927128, N, 01738.7789180, E, Satellites: 20, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105715.00, 5350.0926706, N, 01738.7790424, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105716.00, 5350.0926259, N, 01738.7791727, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105717.00, 5350.0925815, N, 01738.7793158, E, Satellites: 19, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105718.00, 5350.0925325, N, 01738.7794407, E, Satellites: 18, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105719.00, 5350.0924815, N, 01738.7795593, E, Satellites: 18, HDOP: 0.8, lon_err: 0.006, lat_err: 0.004, alt_err: 0.010
