105730.00, 5350.0919911, N, 01738.7806998, E, Satellites: 18, HDOP: 0.9, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105731.00, 5350.0919554, N, 01738.7808226, E, Satellites: 18, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105732.00, 5350.0919151, N, 01738.7809534, E, Satellites: 19, HDOP: 0.7, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105733.00, 5350.0918659, N, 01738.7810872, E, Satellites: 18, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105734.00, 5350.0918151, N, 01738.7812175, E, Satellites: 19, HDOP: 0.7, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105735.00, 5350.0917662, N, 01738.7813370, E, Satellites: 20, HDOP: 0.7, lon_err: 0.007, lat_err: 0.005, alt_err: 0.009
105736.00, 5350.0917166, N, 01738.7814585, E, Satellites: 19, HDOP: 0.7, lon_err: 0.007, lat_err: 0.004, alt_err: 0.009
105737.00, 5350.0916719, N, 01738.7815852, E, Satellites: 19, HDOP: 0.9, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105738.00, 5350.0916265, N, 01738.7817072, E, Satellites: 18, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105739.00, 5350.0915881, N, 01738.7818307, E, Satellites: 18, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105740.00, 5350.0915469, N, 01738.7819371, E, Satellites: 18, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105741.00, 5350.0915049, N, 01738.7820397, E, Satellites: 18, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105742.00, 5350.0914601, N, 01738.7821424, E, Satellites: 17, HDOP: 0.9, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105743.00, 5350.0914108, N, 01738.7822520, E, Satellites: 16, HDOP: 0.9, lon_err: 0.008, lat_err: 0.005, alt_err: 0.010
105744.00, 5350.0913594, N, 01738.7823586, E, Satellites: 17, HDOP: 0.9, lon_err: 0.008, lat_err: 0.005, alt_err: 0.011
105745.00, 5350.0913124, N, 01738.7824693, E, Satellites: 16, HDOP: 0.9, lon_err: 0.008, lat_err: 0.005, alt_err: 0.010
105746.00, 5350.0912677, N, 01738.7825844, E, Satellites: 17, HDOP: 0.9, lon_err: 0.008, lat_err: 0.005, alt_err: 0.011
105747.00, 5350.0912215, N, 01738.7827082, E, Satellites: 19, HDOP: 0.7, lon_err: 0.008, lat_err: 0.005, alt_err: 0.010
105748.00, 5350.0911715, N, 01738.7828313, E, Satellites: 19, HDOP: 0.7, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
105749.00, 5350.0911311, N, 01738.7829594, E, Satellites: 19, HDOP: 0.7, lon_err: 0.007, lat_err: 0.005, alt_err: 0.010
