105600.00, 5350.0941906, N, 01738.7705807, E, Satellites: 17, HDOP: 0.8, lon_err: 0.119, lat_err: 0.083, alt_err: 0.178
105601.00, 5350.0941648, N, 01738.7706687, E, Satellites: 17, HDOP: 0.8, lon_err: 0.118, lat_err: 0.082, alt_err: 0.177
105602.00, 5350.0941485, N, 01738.7707638, E, Satellites: 18, HDOP: 0.7, lon_err: 0.117, lat_err: 0.082, alt_err: 0.175
105603.00, 5350.0941338, N, 01738.7708566, E, Satellites: 17, HDOP: 0.8, lon_err: 0.116, lat_err: 0.081, alt_err: 0.174
105604.00, 5350.0941197, N, 01738.7709430, E, Satellites: 18, HDOP: 0.7, lon_err: 0.114, lat_err: 0.080, alt_err: 0.173
105605.00, 5350.0941044, N, 01738.7710257, E, Satellites: 18, HDOP: 0.7, lon_err: 0.113, lat_err: 0.080, alt_err: 0.172
105606.00, 5350.0940873, N, 01738.7711076, E, Satellites: 18, HDOP: 0.7, lon_err: 0.112, lat_err: 0.079, alt_err: 0.170
105607.00, 5350.0940658, N, 01738.7711792, E, Satellites: 20, HDOP: 0.6, lon_err: 0.111, lat_err: 0.079, alt_err: 0.169
105608.00, 5350.0940422, N, 01738.7712477, E, Satellites: 19, HDOP: 0.7, lon_err: 0.110, lat_err: 0.077, alt_err: 0.167
105609.00, 5350.0940204, N, 01738.7713362, E, Satellites: 19, HDOP: 0.7, lon_err: 0.108, lat_err: 0.075, alt_err: 0.163
105610.00, 5350.0939995, N, 01738.7714260, E, Satellites: 19, HDOP: 0.6, lon_err: 0.107, lat_err: 0.074, alt_err: 0.161
105611.00, 5350.0939908, N, 01738.7715268, E, Satellites: 19, HDOP: 0.7, lon_err: 0.106, lat_err: 0.073, alt_err: 0.160
105612.00, 5350.0939684, N, 01738.7716316, E, Satellites: 20, HDOP: 0.6, lon_err: 0.105, lat_err: 0.072, alt_err: 0.158
105613.00, 5350.0939429, N, 01738.7717366, E, Satellites: 20, HDOP: 0.6, lon_err: 0.104, lat_err: 0.072, alt_err: 0.157
105614.00, 5350.0939263, N, 01738.7718460, E, Satellites: 19, HDOP: 0.6, lon_err: 0.103, lat_err: 0.071, alt_err: 0.156
105615.00, 5350.0939000, N, 01738.7719538, E, Satellites: 19, HDOP: 0.6, lon_err: 0.102, lat_err: 0.070, alt_err: 0.154
105616.00, 5350.0938485, N, 01738.7721615, E, Satellites: 17, HDOP: 0.8, lon_err: 0.101, lat_err: 0.070, alt_err: 0.153
105617.00, 5350.0935679, N, 01738.7719812, E, Satellites: 19, HDOP: 0.7, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105618.00, 5350.0938614, N, 01738.7724457, E, Satellites: 18, HDOP: 0.7, lon_err: 0.390, lat_err: 0.264, alt_err: 0.680
105619.00, 5350.0938209, N, 01738.7725104, E, Satellites: 17, HDOP: 0.7, lon_err: 0.023, lat_err: 0.013, alt_err: 0.036
