105630.00, 5350.1258220, N, 01738.7965584, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105631.00, 5350.1258122, N, 01738.7965586, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105632.00, 5350.1258311, N, 01738.7965403, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105633.00, 5350.1258307, N, 01738.7965423, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105634.00, 5350.1258188, N, 01738.7965276, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105635.00, 5350.1258074, N, 01738.7965268, E, Satellites: 25, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105636.00, 5350.1258193, N, 01738.7965371, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105637.00, 5350.1258335, N, 01738.7965193, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105638.00, 5350.1258233, N, 01738.7965174, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105639.00, 5350.1258141, N, 01738.7965296, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105640.00, 5350.1258187, N, 01738.7965390, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105641.00, 5350.1258247, N, 01738.7965491, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105642.00, 5350.1258357, N, 01738.7965436, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105643.00, 5350.1258414, N, 01738.7965419, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105644.00, 5350.1258441, N, 01738.7965583, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105645.00, 5350.1258500, N, 01738.7965622, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105646.00, 5350.1258565, N, 01738.7965661, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105647.00, 5350.1258553, N, 01738.7965730, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105648.00, 5350.1258573, N, 01738.7965887, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105649.00, 5350.1258664, N, 01738.7965886, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
