105830.00, 5350.1251862, N, 01738.7958641, E, Satellites: 26, HDOP: 0.6, lon_err: 0.181, lat_err: 0.112, alt_err: 0.267
105831.00, 5350.1251808, N, 01738.7958391, E, Satellites: 26, HDOP: 0.6, lon_err: 0.177, lat_err: 0.109, alt_err: 0.259
105832.00, 5350.1251874, N, 01738.7957992, E, Satellites: 26, HDOP: 0.6, lon_err: 0.172, lat_err: 0.106, alt_err: 0.253
105833.00, 5350.1251832, N, 01738.7957860, E, Satellites: 26, HDOP: 0.6, lon_err: 0.168, lat_err: 0.104, alt_err: 0.246
105834.00, 5350.1251910, N, 01738.7957918, E, Satellites: 26, HDOP: 0.6, lon_err: 0.164, lat_err: 0.101, alt_err: 0.240
105835.00, 5350.1252504, N, 01738.7956587, E, Satellites: 25, HDOP: 0.6, lon_err: 0.161, lat_err: 0.099, alt_err: 0.235
105836.00, 5350.1252554, N, 01738.7956346, E, Satellites: 25, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105837.00, 5350.1252434, N, 01738.7956465, E, Satellites: 25, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105838.00, 5350.1252412, N, 01738.7956516, E, Satellites: 25, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105839.00, 5350.1252477, N, 01738.7956622, E, Satellites: 25, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105840.00, 5350.1252577, N, 01738.7956494, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105841.00, 5350.1252497, N, 01738.7956437, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105842.00, 5350.1252504, N, 01738.7956398, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105843.00, 5350.1252658, N, 01738.7956605, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105844.00, 5350.1252775, N, 01738.7956806, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105845.00, 5350.1252799, N, 01738.7956733, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105846.00, 5350.1252819, N, 01738.7956727, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.004, alt_err: 0.008
105847.00, 5350.1252941, N, 01738.7956922, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105848.00, 5350.1253044, N, 01738.7957181, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105849.00, 5350.1253173, N, 01738.7957193, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
