105400.00, 5432.6653660, N, 01832.7684628, E, Satellites: 16, lon_err: 0.553, lat_err: 1.854, alt_err: 1.689
105401.00, 5432.6654073, N, 01832.7684797, E, Satellites: 16, lon_err: 0.549, lat_err: 1.894, alt_err: 1.713
105402.00, 5432.6654161, N, 01832.7684659, E, Satellites: 16, lon_err: 0.563, lat_err: 1.969, alt_err: 1.732
105403.00, 5432.6654427, N, 01832.7684517, E, Satellites: 16, lon_err: 0.561, lat_err: 1.986, alt_err: 1.718
105404.00, 5432.6654800, N, 01832.7685023, E, Satellites: 16, lon_err: 0.548, lat_err: 1.873, alt_err: 1.672
105405.00, 5432.6655014, N, 01832.7684379, E, Satellites: 16, lon_err: 0.552, lat_err: 1.918, alt_err: 1.706
105406.00, 5432.6655164, N, 01832.7683793, E, Satellites: 16, lon_err: 0.532, lat_err: 1.865, alt_err: 1.615
105407.00, 5432.6655232, N, 01832.7683231, E, Satellites: 16, lon_err: 0.497, lat_err: 1.820, alt_err: 1.524
105408.00, 5432.6655166, N, 01832.7682902, E, Satellites: 16, lon_err: 0.501, lat_err: 1.784, alt_err: 1.513
105409.00, 5432.6655158, N, 01832.7682301, E, Satellites: 16, lon_err: 0.513, lat_err: 1.889, alt_err: 1.549
105410.00, 5432.6655131, N, 01832.7681305, E, Satellites: 16, lon_err: 0.501, lat_err: 1.761, alt_err: 1.519
105411.00, 5432.6655086, N, 01832.7680651, E, Satellites: 16, lon_err: 0.482, lat_err: 1.728, alt_err: 1.465
105412.00, 5432.6655037, N, 01832.7680014, E, Satellites: 16, lon_err: 0.486, lat_err: 1.753, alt_err: 1.493
105413.00, 5432.6655144, N, 01832.7679769, E, Satellites: 16, lon_err: 0.530, lat_err: 1.940, alt_err: 1.598
105414.00, 5432.6655250, N, 01832.7679455, E, Satellites: 16, lon_err: 0.528, lat_err: 1.937, alt_err: 1.618
105415.00, 5432.6655506, N, 01832.7679330, E, Satellites: 16, lon_err: 0.506, lat_err: 1.844, alt_err: 1.602
105416.00, 5432.6655667, N, 01832.7679056, E, Satellites: 16, lon_err: 0.558, lat_err: 2.114, alt_err: 1.746
105417.00, 5432.6655678, N, 01832.7678799, E, Satellites: 16, lon_err: 0.539, lat_err: 1.893, alt_err: 1.657
105418.00, 5432.6655411, N, 01832.7678459, E, Satellites: 16, lon_err: 0.559, lat_err: 2.071, alt_err: 1.678
105419.00, 5432.6655332, N, 01832.7678329, E, Satellites: 16, lon_err: 0.557, lat_err: 2.044, alt_err: 1.660
105420.00, 5432.6655416, N, 01832.7678393, E, Satellites: 16, lon_err: 0.543, lat_err: 1.985, alt_err: 1.642
105421.00, 5432.6655676, N, 01832.7678597, E, Satellites: 16, lon_err: 0.531, lat_err: 1.894, alt_err: 1.616
105422.00, 5432.6655969, N, 01832.7678671, E, Satellites: 16, lon_err: 0.509, lat_err: 1.793, alt_err: 1.541
105423.00, 5432.6656362, N, 01832.7678908, E, Satellites: 16, lon_err: 0.530, lat_err: 1.883, alt_err: 1.606
105424.00, 5432.6656613, N, 01832.7679293, E, Satellites: 16, lon_err: 0.528, lat_err: 1.868, alt_err: 1.587
105425.00, 5432.6656880, N, 01832.7679354, E, Satellites: 16, lon_err: 0.529, lat_err: 1.863, alt_err: 1.668
105426.00, 5432.6657100, N, 01832.7679777, E, Satellites: 16, lon_err: 0.535, lat_err: 1.844, alt_err: 1.668
