105730.00, 5350.1256365, N, 01738.7963249, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105731.00, 5350.1256075, N, 01738.7962978, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105732.00, 5350.1255959, N, 01738.7962840, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105733.00, 5350.1256003, N, 01738.7962672, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105734.00, 5350.1255911, N, 01738.7962505, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105735.00, 5350.1255622, N, 01738.7962553, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105736.00, 5350.1255461, N, 01738.7962500, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.008
105737.00, 5350.1255571, N, 01738.7962219, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105738.00, 5350.1255525, N, 01738.7961862, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105739.00, 5350.1255312, N, 01738.7961625, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105740.00, 5350.1255084, N, 01738.7961777, E, Satellites: 26, HDOP: 0.6, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105741.00, 5350.1255118, N, 01738.7961690, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105742.00, 5350.1255054, N, 01738.7961638, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.003, alt_err: 0.008
105743.00, 5350.1254813, N, 01738.7961507, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105744.00, 5350.1254664, N, 01738.7961436, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105745.00, 5350.1254802, N, 01738.7961274, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105746.00, 5350.1254779, N, 01738.7961132, E, Satellites: 26, HDOP: 0.6, lon_err: 0.006, lat_err: 0.004, alt_err: 0.009
105747.00, 5350.1254654, N, 01738.7961025, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
105748.00, 5350.1254633, N, 01738.7961005, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.007
105749.00, 5350.1254774, N, 01738.7960876, E, Satellites: 27, HDOP: 0.5, lon_err: 0.005, lat_err: 0.003, alt_err: 0.008
