110030.00, 5350.1262333, N, 01738.7971336, E, Satellites: 21, HDOP: 0.7, lon_err: 0.060, lat_err: 0.028, alt_err: 0.052
110031.00, 5350.1262043, N, 01738.7971224, E, Satellites: 21, HDOP: 0.7, lon_err: 0.060, lat_err: 0.028, alt_err: 0.052
110032.00, 5350.1261977, N, 01738.7971015, E, Satellites: 21, HDOP: 0.7, lon_err: 0.060, lat_err: 0.028, alt_err: 0.052
110033.00, 5350.1261981, N, 01738.7970819, E, Satellites: 21, HDOP: 0.7, lon_err: 0.059, lat_err: 0.028, alt_err: 0.052
110034.00, 5350.1261919, N, 01738.7970590, E, Satellites: 21, HDOP: 0.7, lon_err: 0.059, lat_err: 0.027, alt_err: 0.052
110035.00, 5350.1261750, N, 01738.7970392, E, Satellites: 21, HDOP: 0.7, lon_err: 0.058, lat_err: 0.027, alt_err: 0.051
110036.00, 5350.1261616, N, 01738.7970370, E, Satellites: 21, HDOP: 0.7, lon_err: 0.058, lat_err: 0.027, alt_err: 0.051
110037.00, 5350.1261498, N, 01738.7970277, E, Satellites: 22, HDOP: 0.7, lon_err: 0.058, lat_err: 0.027, alt_err: 0.051
110038.00, 5350.1261361, N, 01738.7970474, E, Satellites: 22, HDOP: 0.7, lon_err: 0.057, lat_err: 0.027, alt_err: 0.050
110039.00, 5350.1261271, N, 01738.7970224, E, Satellites: 22, HDOP: 0.7, lon_err: 0.057, lat_err: 0.027, alt_err: 0.050
110040.00, 5350.1261178, N, 01738.7970059, E, Satellites: 22, HDOP: 0.7, lon_err: 0.056, lat_err: 0.027, alt_err: 0.050
110041.00, 5350.1261171, N, 01738.7969878, E, Satellites: 22, HDOP: 0.7, lon_err: 0.056, lat_err: 0.027, alt_err: 0.050
110042.00, 5350.1260976, N, 01738.7969929, E, Satellites: 22, HDOP: 0.7, lon_err: 0.056, lat_err: 0.026, alt_err: 0.050
110043.00, 5350.1260833, N, 01738.7969761, E, Satellites: 22, HDOP: 0.7, lon_err: 0.055, lat_err: 0.026, alt_err: 0.049
110044.00, 5350.1260785, N, 01738.7969507, E, Satellites: 22, HDOP: 0.7, lon_err: 0.055, lat_err: 0.026, alt_err: 0.049
110045.00, 5350.1260683, N, 01738.7969361, E, Satellites: 22, HDOP: 0.7, lon_err: 0.055, lat_err: 0.026, alt_err: 0.049
110046.00, 5350.1260454, N, 01738.7969334, E, Satellites: 22, HDOP: 0.7, lon_err: 0.054, lat_err: 0.026, alt_err: 0.049
110047.00, 5350.1260268, N, 01738.7969422, E, Satellites: 22, HDOP: 0.7, lon_err: 0.054, lat_err: 0.026, alt_err: 0.049
110048.00, 5350.1260191, N, 01738.7969237, E, Satellites: 22, HDOP: 0.7, lon_err: 0.054, lat_err: 0.026, alt_err: 0.048
110049.00, 5350.1260163, N, 01738.7969201, E, Satellites: 22, HDOP: 0.7, lon_err: 0.053, lat_err: 0.026, alt_err: 0.048
